id,name,category,gender,ranking,points,nationality,birthplace,birthdate,age,hand,side,height
249,Agustin Gomez Silingo,men,M,2732.0,,AR,La Plata,1983-08-01,42.0,,backhand,186.0
250,Pedro Melendez Amaya,men,M,113.0,498.0,ES,Sevilla,1997-06-19,28.0,right,drive,179.0
251,Diego Gil,men,M,122.0,455.0,ES,Las Palmas,1998-03-27,27.0,right,drive,187.0
252,Maxi Sanchez Blasco,men,M,43.0,1449.0,AR,Deaireaux,2002-09-06,23.0,right,backhand,186.0
253,Santiago Rolla,men,M,246.0,187.0,AR,Junin,2001-06-13,24.0,,drive,176.0
254,Ferran Insa Sotillo,men,M,101.0,586.0,ES,Granollers,1994-07-21,31.0,,backhand,179.0
255,Juan Ignacio De Pascual,men,M,103.0,571.0,AR,Pergamino,2004-12-09,21.0,left,drive,186.0
256,Facundo Rodrigo Luis Lopez,men,M,158.0,352.0,AR,Misiones,2004-03-24,21.0,,backhand,190.0
257,Ruben Rivera,men,M,2732.0,,ES,Barcelona,1990-07-29,35.0,,backhand,182.0
258,Adria Mercadal,men,M,814.0,22.0,ES,Barcelona,1990-11-19,35.0,right,drive,173.0
259,Sergio Alba,men,M,320.0,115.0,ES,Guadalajara,1990-05-26,35.0,right,backhand,178.0
260,Mauricio A Rivero,men,M,531.0,49.0,AR,La Plata,2001-12-06,24.0,,drive,175.0
261,Francisco Britos,men,M,445.0,65.0,AR,Chivilcoy,2001-12-27,24.0,,backhand,174.0
262,Relis Ferreyra,men,M,518.0,51.0,AR,Chaco,1999-05-07,26.0,,drive,174.0
263,Juan Manuel Restivo,men,M,2732.0,,IT,La Plata,1988-06-11,37.0,,backhand,180.0
264,Sergio Icardo,men,M,180.0,301.0,ES,Valencia,1989-10-04,36.0,,drive,178.0
265,Benjamin Tison,men,M,311.0,120.0,FR,,1989-02-02,37.0,left,,
266,Aitor Garcia,men,M,436.0,68.0,ES,Gerona,1994-09-10,31.0,,backhand,181.0
267,Victor Mena,men,M,152.0,370.0,ES,Madrid,1999-06-24,26.0,right,backhand,194.0
269,Marcos Cordoba,men,M,148.0,375.0,ES,Tenerife,2004-12-21,21.0,right,drive,184.0
270,Miguel Gonzalez,men,M,148.0,375.0,ES,Melilla,1997-05-21,28.0,,backhand,184.0
271,Roberto Rodriguez Alonso,men,M,842.0,21.0,ES,Caracas,1985-11-25,40.0,,drive,172.0
272,Eduardo Andres Lopez Figuera,men,M,2732.0,,VE,,1996-02-09,29.0,,,
273,Francisco Miguel Ramirez Navas,men,M,,,ES,,,,,,
274,Andres Devletian,men,M,2890.0,,VE,,1992-03-06,33.0,,,
275,Diego Gonzalez Almedo,men,M,2890.0,,VE,,2001-07-02,24.0,,,
276,Bram Coene,men,M,874.0,20.0,BE,,1992-12-13,33.0,right,,185.0
277,Joris De Weerdt,men,M,1028.0,14.0,BE,Kontich,1987-07-05,38.0,left,drive,
278,Dylan Demian Cuello,men,M,221.0,223.0,AR,El Trebol Santa fe,2000-12-11,25.0,,backhand,187.0
279,Federico Chiostri,men,M,176.0,308.0,AR,San Nicolas de los Arroyos,1999-02-22,26.0,right,drive,166.0
280,Bastien Blanque,men,M,127.0,441.0,FR,Toulouse,1995-05-10,30.0,,backhand,180.0
281,Dylan Guichard,men,M,130.0,428.0,FR,Rennes,2000-06-05,25.0,,drive,
282,Adrian Marques Berdonce,men,M,106.0,557.0,ES,Palma de Mallorca,2002-06-20,23.0,right,drive,175.0
283,Riccardo Sinicropi,men,M,294.0,134.0,IT,Genova,1990-09-12,35.0,,drive,178.0
284,Flavio Abbate,men,M,76.0,943.0,IT,Siracusa,2004-07-31,21.0,,drive,184.0
285,Giulio Graziotti,men,M,132.0,419.0,IT,Roma,1998-08-28,27.0,,backhand,
286,Juan Pablo Andrada,men,M,565.0,44.0,AR,Villa Mercedes,2003-08-15,22.0,,drive,185.0
287,Max Sjovall,men,M,386.0,85.0,FI,Turku,1986-07-10,39.0,,drive,191.0
288,Saska Huttunen,men,M,1394.0,8.0,FI,,1994-05-12,31.0,,,
289,Pyry Hyrkkönen,men,M,1394.0,8.0,FI,Tampere,1996-11-24,29.0,,drive,180.0
290,Antonio Luque,men,M,168.0,324.0,PT,Jaen,1987-09-09,38.0,right,backhand,184.0
291,Gerard Arnaldos Serrano,men,M,197.0,258.0,ES,Barcelona,1997-12-31,28.0,,drive,184.0
292,Johan Bergeron,men,M,124.0,452.0,FR,Lyon,1993-06-12,32.0,,backhand,
293,Fran Ramirez Navas,men,M,131.0,427.0,ES,Sevilla,1991-07-31,34.0,right,backhand,174.0
294,Georges Wakim,men,M,240.0,198.0,EG,,1994-11-14,31.0,,drive,
295,Alejandro Tasa Van Beek,men,M,814.0,22.0,ES,Benidorm,1999-01-09,27.0,,backhand,173.0
296,Maxime Moreau,men,M,2855.0,1.0,FR,Niza,1987-07-16,38.0,,backhand,183.0
297,Khalid Saadon Alkuwari,men,M,1175.0,11.0,QA,Doha,1988-12-07,37.0,,backhand,177.0
298,Mohamed Aboulkassem,men,M,747.0,26.0,EG,,1998-01-19,28.0,,backhand,
299,Carlos Perez Cabeza,men,M,280.0,144.0,ES,Málaga,1996-06-27,29.0,,drive,191.0
300,Adrian Ronco Lopez,men,M,184.0,286.0,ES,Madrid,1997-10-31,28.0,,drive,179.0
301,Pedro Araujo,men,M,159.0,351.0,PT,Lisboa,2000-03-11,25.0,,backhand,180.0
305,Diego García,men,M,1712.0,5.0,ES,,2006-01-13,20.0,,,
307,Rayan Abdulla,men,M,,,QA,,,,,,
308,Ali Alsaygh,men,M,2732.0,,QA,,1996-02-12,29.0,,,
309,Manuel Rocafort Lores,men,M,1394.0,8.0,ES,Marbella,1997-03-03,28.0,,drive,170.0
310,Cayetano Rocafort Lores,men,M,1394.0,8.0,ES,Málaga,1994-10-04,31.0,,backhand,175.0
311,Mohammed Abdulla,men,M,2732.0,,QA,Doha,1985-05-23,40.0,,backhand,180.0
313,Mohammed Al Khanji,men,M,518.0,51.0,QA,Doha,1994-08-09,31.0,,,
314,Jabor Al-Mutawa,men,M,968.0,16.0,QA,,1994-05-27,31.0,,,178.0
315,Ricardo Martinez,men,M,482.0,59.0,ES,Yecla,1988-06-24,37.0,,backhand,182.0
316,Aday Santana,men,M,2732.0,,ES,Las Palmas,1978-05-04,47.0,,backhand,179.0
317,Cristian Jensen Sirvent,men,M,2732.0,,IT,Mar del Plata,2003-09-17,22.0,,backhand,160.0
318,Jeremy Scatena,men,M,998.0,15.0,FR,Cannes,1985-04-16,40.0,,backhand,184.0
319,Jerome Inzerillo,men,M,1712.0,5.0,FR,Marseille,1990-02-15,35.0,,drive,173.0
320,Pedro Vera,men,M,1611.0,6.0,ES,Murcia,1993-12-04,32.0,,drive,184.0
321,Jose Carlos Gaspar,men,M,2732.0,,ES,Málaga,1997-08-28,28.0,,drive,185.0
322,Jose Maria Mouliaa,men,M,2732.0,,ES,Lorca,1989-01-10,37.0,right,backhand,188.0
323,Raul Peralta Corredor,men,M,874.0,20.0,ES,Villena,2005-02-16,20.0,,backhand,170.0
324,Diego Pascual Simon Tomas,men,M,618.0,37.0,ES,Murcia,2002-09-18,23.0,,backhand,176.0
325,Martin Ariel Andornino,men,M,2126.0,3.0,IT,Mar del Plata,1996-09-18,29.0,,drive,170.0
326,Alvaro Montiel Caruso,men,M,83.0,878.0,ES,Barcelona,2005-02-04,21.0,right,backhand,180.0
327,Felipe Calleja,men,M,161.0,340.0,AR,La Paz,2001-03-10,24.0,,drive,185.0
328,Matias Emmanuel Del Moral,men,M,453.0,64.0,AR,La Rioja,1998-08-08,27.0,,backhand,185.0
329,Santiago Frugoni,men,M,2732.0,,AR,,1995-05-21,30.0,,,
330,Julian Di Bene,men,M,2732.0,,IT,Cruz del eje,1999-07-10,26.0,,backhand,178.0
331,Matias Damian Gonzalez,men,M,733.0,27.0,AR,Buenos Aires,1997-12-06,28.0,,drive,174.0
332,Luciano Puppo,men,M,191.0,269.0,AR,Buenos Aires,2001-09-03,24.0,,backhand,174.0
333,Adrien Maigret,men,M,400.0,82.0,FR,París,1987-06-24,38.0,,backhand,190.0
334,Pepe Aliaga,men,M,119.0,476.0,ES,Ecija,2004-03-01,21.0,,backhand,190.0
335,Francisco Gomes,men,M,358.0,94.0,BR,Porto Alegre,1981-06-07,44.0,,drive,180.0
336,Abdullah Alabdullah,men,M,814.0,22.0,SA,,2002-09-04,23.0,,,
337,Faisal Alrebdi,men,M,814.0,22.0,SA,,1999-10-17,26.0,,,
338,Omar Althagib,men,M,2855.0,1.0,SA,,1983-12-15,42.0,,,
339,Abdulaziz Redha,men,M,1078.0,13.0,KW,,1998-02-25,27.0,,,
340,Sattam Alshahrani,men,M,2085.0,4.0,SA,,1997-12-07,28.0,,,
341,Manuel Yuste Apolinar,men,M,2732.0,,ES,Sevilla,1996-10-11,29.0,,drive,185.0
342,Rayan Abdulla,men,M,,,QA,,,,,,
343,Amr Hassan,men,M,,,QA,,,,,,
344,Abdulaziz Saadon Alkuwari,men,M,2732.0,,QA,Doha,1979-11-13,46.0,,drive,179.0
345,Carlos Luna,men,M,2732.0,,EC,Riobamba,1989-08-08,36.0,,drive,180.0
346,Javier Rodriguez Marquez,men,M,618.0,37.0,ES,Cáceres,1998-01-31,28.0,,backhand,179.0
347,Gonzalo Perez Arbona,men,M,353.0,96.0,ES,Valencia,1998-07-04,27.0,,drive,190.0
348,Ignacio Andres Lehyt Sances,men,M,777.0,24.0,CL,Santiago,1991-12-19,34.0,,drive,175.0
349,Sebastian Muñoz Campos,men,M,666.0,32.0,CL,Gran Santiago,1996-01-24,30.0,,,
350,Carlos Zarhi,men,M,2732.0,,CL,Santiago,1986-05-05,39.0,,,193.0
351,Michele Bruno,men,M,2732.0,,IT,Roma,1989-01-14,37.0,,backhand,188.0
352,Jose Roman Martinez Sanchis,men,M,219.0,224.0,ES,Almansa,2003-06-05,22.0,,backhand,182.0
353,Pablo Castillo Valverde,men,M,189.0,276.0,ES,Melilla,1999-11-06,26.0,,drive,175.0
354,Afonso Fazendeiro,men,M,179.0,302.0,PT,Lisboa,1998-07-18,27.0,,backhand,181.0
355,Roger Aromi Siquier,men,M,268.0,153.0,ES,Mataró,1997-04-29,28.0,,drive,180.0
356,Francisco Alameda Robles,men,M,2890.0,,ES,Málaga,1992-08-10,33.0,,drive,182.0
357,Luis Pozo Carballo,men,M,2890.0,,ES,Las Palmas de Gran Canaria,1999-04-11,26.0,,backhand,178.0
358,Bart Van Opstal,men,M,204.0,247.0,NL,Amsterdam,1995-02-19,30.0,,drive,179.0
359,Maxime Joris,men,M,192.0,268.0,FR,Bordeaux,2001-03-26,24.0,,drive,
360,Javier Bravo Alvarez,men,M,1712.0,5.0,ES,Málaga,1990-01-15,36.0,,drive,169.0
361,Fares Al Janahi,men,M,540.0,48.0,AE,Dubai,1999-01-08,27.0,,drive,
362,Sergio Icardo,men,M,180.0,301.0,AE,Valencia,1989-10-04,36.0,,drive,178.0
363,Francisco Jurado Sosa,men,M,234.0,204.0,AE,El Coronil,1996-12-10,29.0,,backhand,184.0
364,Javier Navarro Perez,men,M,690.0,30.0,ES,Valencia,2001-05-03,24.0,,drive,176.0
365,Abdulrahman Alawadhi,men,M,635.0,35.0,KW,,1992-02-17,33.0,,,
366,Facundo Erguy,men,M,367.0,91.0,AR,Buenos Aires,1997-04-02,28.0,,backhand,175.0
367,Candido Jorge Alfaro,men,M,195.0,265.0,ES,Las Palmas de Gran Canaria,1995-04-22,30.0,,backhand,185.0
368,Pablo Francisco Amora Hernandez,men,M,380.0,87.0,MX,Veracruz,1994-09-24,31.0,,backhand,167.0
369,Abdulrahman Alazzam,men,M,814.0,22.0,SA,,1995-11-30,30.0,,,
370,Qassem Alobidan,men,M,814.0,22.0,SA,,,,,,
371,Aaron Segura,men,M,814.0,22.0,US,,2004-12-03,21.0,,,
372,Matias Segura,men,M,518.0,51.0,US,,1999-01-01,27.0,,,
373,Joaquin Nicolas Escalona Linz,men,M,251.0,182.0,CL,Punta Arenas,2007-04-02,18.0,,,
374,Alonso Villavicencio Mancilla,men,M,518.0,51.0,CL,Limache,2008-12-04,17.0,,,
375,Hassan Adel Waly,men,M,585.0,41.0,QA,,2008-11-25,17.0,,,
376,Mashari Nawaf,men,M,330.0,111.0,QA,,2007-07-23,18.0,,,
377,Rashed Nawaf,men,M,355.0,95.0,QA,,2005-06-01,20.0,,,
378,Federico Alejandro Fleitas,men,M,657.0,33.0,AR,Formosa,1996-03-07,29.0,,drive,
379,Juan Pablo Dametto,men,M,200.0,256.0,AR,Cordoba,1999-03-27,26.0,,,173.0
380,Santiago Jose Pineda Cabello,men,M,121.0,460.0,ES,Sevilla,2006-11-15,19.0,,drive,181.0
381,Daniel Luna Peinado,men,M,355.0,95.0,ES,Palma de Mallorca,2002-04-16,23.0,,backhand,184.0
382,Renzo Gabriel Nuñez,men,M,157.0,353.0,AR,Resistencia,2006-07-30,19.0,,backhand,180.0
383,Kevin Uriel Kviatkovski,men,M,210.0,242.0,AR,Chaco,2005-01-11,21.0,,,178.0
384,Tomas Luco,men,M,585.0,41.0,AR,Villa Mercedes,2002-09-06,23.0,,backhand,180.0
385,Naim Horacio Diaz,men,M,500.0,55.0,AR,La Rioja,2008-01-11,18.0,,,168.0
386,Antonio Graupera,men,M,318.0,116.0,AR,,2008-10-20,17.0,,,
387,Alfonso Sanchez Arriaga,men,M,174.0,320.0,ES,,1998-08-10,27.0,,,
388,Ariana Sanchez Fallada,women,F,3.0,14720.0,ES,Reus,1997-07-19,28.0,,backhand,165.0
389,Paula Josemaria Martin,women,F,3.0,14720.0,ES,Moraleja,1996-10-31,29.0,,drive,160.0
390,Sara Foguer Lapuente,women,F,141.0,231.0,ES,Palma de Mallorca,2008-05-20,17.0,,backhand,156.0
391,Lucia Micaela Fernandez Lopez,women,F,85.0,541.0,ES,Alicante,2005-06-22,20.0,,backhand,165.0
392,Alix Collombon,women,F,34.0,1800.0,FR,Lyon,1993-03-17,32.0,,drive,174.0
393,Araceli Martinez,women,F,31.0,1845.0,ES,Murcia,2000-08-28,25.0,,backhand,162.0
394,Beatriz Caldera Sanchez,women,F,17.0,3715.0,ES,Valladolid,2001-09-03,24.0,,drive,164.0
395,Carmen Goenaga Garcia,women,F,17.0,3715.0,ES,Salamanca,2004-02-23,21.0,,backhand,167.0
396,Jana Montes Cabruja,women,F,56.0,1108.0,ES,Girona,2008-01-04,18.0,,drive,172.0
397,Marta Arellano Navarro,women,F,66.0,880.0,ES,Madrid,2006-05-20,19.0,,backhand,173.0
398,Alejandra Alonso De Villa,women,F,12.0,5385.0,ES,Valladolid,2006-05-29,19.0,,backhand,169.0
399,Claudia Jensen,women,F,11.0,5405.0,AR,Madrid,2005-07-21,20.0,,drive,158.0
400,Lucia Sainz Pelegri,women,F,21.0,2980.0,ES,Barcelona,1984-10-05,41.0,,drive,173.0
401,Patricia Llaguno Zielinski,women,F,22.0,2965.0,ES,Cartagena,1985-02-25,40.0,,backhand,167.0
402,Sara Ruiz Soto,women,F,46.0,1315.0,ES,Santander,1995-08-06,30.0,,drive,160.0
403,Carla Mesa Salazar,women,F,60.0,971.0,ES,Tenerife,1991-03-24,34.0,,backhand,168.0
404,Carolina Orsi,women,F,29.0,1960.0,IT,Roma,1991-07-04,34.0,,drive,178.0
406,Aranzazu Osoro Ulrich,women,F,19.0,3640.0,AR,Parana,1996-06-03,29.0,,drive,166.0
408,Maria Virginia Riera,women,F,,,AR,,,,,,
409,Raquel Eugenio Barrera,women,F,24.0,2380.0,ES,Las Palmas de Gran Canaria,2008-01-25,18.0,,backhand,170.0
410,Andrea Ustero Prieto,women,F,8.0,6625.0,ES,Barcelona,2007-05-12,18.0,,drive,170.0
411,Sofia Araujo,women,F,7.0,7030.0,PT,Lisboa,1994-11-30,31.0,,backhand,172.0
412,Claudia Fernandez Sanchez,women,F,5.0,13040.0,ES,Madrid,2006-02-28,19.0,,drive,164.0
413,Beatriz Gonzalez Fernandez,women,F,5.0,13040.0,ES,Málaga,2001-11-23,24.0,,backhand,174.0
414,Noa Canovas Paredes,women,F,32.0,1820.0,ES,Barcelona,2004-04-23,21.0,,backhand,163.0
415,Jimena Velasco Postiguillo,women,F,28.0,2115.0,ES,Segovia,2004-06-19,21.0,,drive,175.0
416,Jessica Castello Lopez,women,F,23.0,2480.0,ES,Villena,1997-10-29,28.0,,backhand,169.0
417,Lorena Rufo Ortiz,women,F,26.0,2190.0,ES,Cáceres,2003-08-04,22.0,,backhand,166.0
418,Lucia Martinez Gomez,women,F,38.0,1650.0,ES,Granada,1991-05-16,34.0,,drive,166.0
419,Marta Marrero,women,F,63.0,926.0,ES,Las Palmas de Gran Canaria,1983-01-16,43.0,,backhand,173.0
420,Marta Talavan,women,F,45.0,1470.0,ES,Madrid,1995-04-12,30.0,,drive,163.0
421,Teresa Navarro lopez-Barajas,women,F,58.0,1064.0,ES,Granada,1988-10-22,37.0,,backhand,170.0
422,Marta Ortega Gallego,women,F,9.0,6435.0,ES,Madrid,1997-02-14,28.0,,drive,170.0
423,Tamara Icardo Alcorisa,women,F,10.0,6050.0,ES,Valencia,1995-10-10,30.0,,drive,178.0
424,Alejandra Salazar Bengoechea,women,F,13.0,5110.0,ES,Madrid,1985-12-31,40.0,,drive,168.0
426,Maria Eulalia Rodriguez Abajo,women,F,36.0,1690.0,ES,Barcelona,2004-09-26,21.0,,drive,170.0
427,Carolina Navarro Björk,women,F,57.0,1066.0,SE,Málaga,1976-02-26,49.0,,backhand,165.0
428,Melania Merino Saez,women,F,41.0,1502.0,ES,Valladolid,1999-04-24,26.0,,drive,172.0
429,Marina Guinart España,women,F,16.0,4035.0,ES,Castellar del Valles,1996-06-30,29.0,,drive,178.0
430,Victoria Iglesias Segador,women,F,20.0,3420.0,ES,Sevilla,1994-05-16,31.0,,backhand,176.0
431,Laura Lujan Rodriguez,women,F,49.0,1250.0,ES,Sevilla,2005-04-24,20.0,,backhand,167.0
432,Lea Godallier,women,F,61.0,940.0,FR,Papeete,1995-05-09,30.0,,backhand,178.0
433,Gemma Triay Pons,women,F,1.0,18060.0,ES,Mahón,1992-06-28,33.0,,backhand,173.0
434,Delfina Brea Senesi,women,F,1.0,18060.0,AR,Buenos Aires,1999-12-05,26.0,,drive,170.0
435,Marta Marrero Marrero,women,F,,,ES,,,,,,
436,Marta Barrera De La Fuente,women,F,27.0,2185.0,ES,Cádiz,2004-10-05,21.0,,backhand,169.0
437,Marta Caparros Maldonado,women,F,30.0,1885.0,ES,Málaga,2001-03-17,24.0,,drive,183.0
439,Ana Catarina Nogueira,women,F,40.0,1565.0,PT,Oporto,1978-09-20,47.0,,backhand,171.0
440,Martina Fassio Goyeneche,women,F,25.0,2370.0,AR,Pamplona,2004-04-26,21.0,,backhand,165.0
441,Raquel Piltcher,women,F,97.0,426.0,BR,Pelotas,1991-06-14,34.0,,drive,165.0
442,Alicia Blanco Rojo,women,F,153.0,201.0,ES,Medina del Campo,1989-11-17,36.0,,backhand,164.0
443,Lucia Peralta Exposito,women,F,82.0,555.0,ES,Zaragoza,2006-08-01,19.0,,backhand,172.0
444,Lorena Vano,women,F,77.0,654.0,IT,Caserta,1999-08-15,26.0,,drive,167.0
445,Sara Pujals Perez,women,F,114.0,338.0,ES,Berga,1988-01-30,38.0,,backhand,161.0
446,Daiara Agustina Valenzuela,women,F,84.0,542.0,AR,Picún Leufu,2004-07-18,21.0,,backhand,
448,Barbara Las Heras,women,F,54.0,1148.0,ES,Madrid,1993-10-07,32.0,,drive,161.0
449,Giorgia Marchetti,women,F,51.0,1234.0,IT,Roma,1995-01-21,31.0,,backhand,178.0
450,Lara Arruabarrena,women,F,42.0,1495.0,ES,San Sebastian,1992-03-20,33.0,,drive,165.0
451,Julieta Evangelina Bidahorria,women,F,39.0,1575.0,AR,Jesús Maria - Cba,1991-12-12,34.0,,backhand,178.0
452,Maximiliano Arce,men,M,59.0,1085.0,AR,Salta,1998-01-27,28.0,left,drive,175.0
453,Agueda Perez Ortiz,women,F,43.0,1474.0,ES,Madrid,2007-07-20,18.0,,backhand,167.0
454,Marta Borrero,women,F,44.0,1472.0,ES,Sevilla,2003-02-09,22.0,,drive,170.0
455,Sofia Saiz Vallejo,women,F,52.0,1227.0,ES,Palma de Mallorca,2003-03-26,22.0,,backhand,172.0
456,Marina Lobo,women,F,46.0,1315.0,ES,Alicante,2003-03-06,22.0,,drive,169.0
457,Nuria Rodriguez,women,F,37.0,1655.0,ES,Sanlucar de Barrameda,1994-12-09,31.0,,backhand,160.0
458,Enric Sanmarti Beleta,men,M,814.0,22.0,ES,,1982-06-11,43.0,,,
459,Guillem Figuerola Santiago,men,M,109.0,536.0,ES,Valls,1998-07-30,27.0,,backhand,176.0
460,Anna Ortiz Gascó,women,F,76.0,697.0,ES,Tarragona,2005-06-17,20.0,,backhand,167.0
461,Alba Gallardo Salvado,women,F,133.0,254.0,ES,Tarragona,2005-12-04,20.0,,backhand,170.0
462,Noemi Aguilar Carrillo,women,F,50.0,1244.0,ES,Madrid,2006-08-09,19.0,,backhand,162.0
463,Julia Polo Bautista,women,F,53.0,1174.0,ES,Rota - Cádiz,1999-01-24,27.0,,backhand,167.0
464,Letizia Maria Manquillo Alarza,women,F,48.0,1257.0,ES,Madrid,2005-11-26,20.0,,backhand,167.0
465,Aimar Goñi,men,M,,,ES,,,,right,,
466,Franco Renato Del Bianco,men,M,,,AR,,,,,,
467,Rebeca Lopez Lopez,women,F,73.0,733.0,ES,Madrid,2000-11-02,25.0,,drive,157.0
468,Amanda Lopez Moral,women,F,64.0,918.0,ES,Madrid,2008-01-16,18.0,,backhand,163.0
469,Martina Calvo Santamaria,women,F,14.0,4745.0,ES,Pamplona,2008-07-05,17.0,,backhand,166.0
470,Esther Carnicero Martin,women,F,62.0,929.0,ES,Valladolid,1999-11-23,26.0,,backhand,170.0
471,Franco Renato Dal Bianco,men,M,214.0,231.0,AR,,2000-03-04,25.0,,,
472,Bastien Blanqué,men,M,127.0,441.0,FR,Toulouse,1995-05-10,30.0,,backhand,180.0
473,Yoan Boronad,men,M,201.0,255.0,FR,Perpignan,2007-09-12,18.0,,drive,174.0
474,Timeo Fonteny,men,M,186.0,280.0,FR,Antibes,2007-03-18,18.0,,backhand,178.0
475,Maxime Forcin,men,M,453.0,64.0,FR,,1989-06-26,36.0,,,
476,Louise Bahurel,women,F,120.0,320.0,FR,Annecy,2006-05-30,19.0,,,146.0
477,Lucile Pothier,women,F,184.0,143.0,FR,Aix-les-Bains,1997-05-09,28.0,,drive,167.0
478,Mónica Gómez Rivas,women,F,70.0,747.0,ES,Madrid,2003-06-18,22.0,,drive,160.0
479,Carla Touly,women,F,80.0,602.0,FR,Montbrison,1996-08-30,29.0,,backhand,162.0
480,Lucia Garcia Trella,women,F,59.0,1013.0,ES,Málaga,2004-05-16,21.0,,drive,169.0
481,Natividad Lopez Diaz,women,F,74.0,730.0,ES,Málaga,1997-08-22,28.0,,backhand,160.0
483,Sandra Bellver Fructuoso,women,F,65.0,899.0,ES,Barcelona,1991-12-14,34.0,,backhand,167.0
484,Ariadna Cañellas Rodero,women,F,69.0,759.0,ES,Palma de Mallorca,2002-10-26,23.0,,drive,165.0
485,Laura Luján Rodríguez,women,F,49.0,1250.0,ES,Sevilla,2005-04-24,20.0,,backhand,167.0
486,Chiara Pappacena,women,F,132.0,260.0,IT,Roma,1994-07-14,31.0,,drive,171.0
487,Jessica Ginier Barbier,women,F,184.0,143.0,FR,Lyon,1992-10-21,33.0,,backhand,170.0
488,Patricia Martinez Fortun,women,F,55.0,1133.0,ES,Zaragoza,2001-09-26,24.0,,drive,167.0
489,Giulia Dal Pozzo,women,F,67.0,857.0,IT,Borgo Maggiore,2005-02-15,20.0,,drive,168.0
490,Anna Ortiz Gasco,women,F,76.0,697.0,ES,Tarragona,2005-06-17,20.0,,backhand,167.0
491,Alba Perez Momha,women,F,75.0,726.0,ES,Málaga,1999-09-18,26.0,,backhand,165.0
492,Aida Martinez Sanjuan,women,F,71.0,741.0,ES,Muro de alcoy,1993-01-15,33.0,,drive,164.0
493,Ana Dominguez Gracia,women,F,72.0,738.0,ES,Barcelona,2005-04-23,20.0,,backhand,172.0
494,Camila Fassio Goyeneche,women,F,68.0,763.0,ES,Pamplona,2007-03-20,18.0,,backhand,
495,Monica Gomez Rivas,women,F,70.0,747.0,ES,Madrid,2003-06-18,22.0,,drive,160.0
496,Virginia Riera,women,F,35.0,1716.0,AR,Resistencia,1988-09-27,37.0,,backhand,165.0
