id,name,category,gender,ranking,points,nationality,birthplace,birthdate,age,hand,side,height
497,Veronica Virseda,women,F,15.0,4190.0,ES,Toledo,1992-07-01,33.0,,backhand,170.0
498,Claudia Jensen Sirvent,women,F,,,AR,,,,,,
499,Areej Khalil Fareh,women,F,340.0,48.0,SA,,1998-07-12,27.0,,,
500,Alanoud Yamani,women,F,330.0,51.0,SA,,1997-11-03,28.0,,,
501,María Virginia Riera,women,F,,,AR,,,,,,
502,Coral Alvarez Castro,women,F,179.0,148.0,ES,,1996-02-10,29.0,,,
503,Cristina Gonzalez Cidoncha,women,F,281.0,71.0,ES,,2001-08-07,24.0,,,
504,Arantxa Soriano Perez,women,F,130.0,263.0,ES,Utiel,1990-01-24,36.0,,drive,171.0
505,Luisa Fernanda De La Peña Rosas,women,F,382.0,36.0,MX,,1985-09-09,40.0,,,
506,Camila Ramme Coellar,women,F,87.0,522.0,MX,Ciudad de México,2001-04-10,24.0,,backhand,157.0
507,Brittany Dubins,women,F,100.0,406.0,US,Miami,1992-03-03,33.0,,backhand,
508,Marta Morga Alonso,women,F,308.0,59.0,US,Madrid,1995-02-13,30.0,,,
509,Kimberley Ahumada Carrasco,women,F,191.0,138.0,CL,,2000-04-25,25.0,,,
510,Catalina Arancibia,women,F,191.0,138.0,CL,,1987-11-12,38.0,,,
511,Carmen Castillon Gamez,women,F,165.0,176.0,ES,Málaga,2002-02-04,24.0,,backhand,179.0
512,Laila El Nimr,women,F,229.0,101.0,EG,,1999-02-17,26.0,,,
513,Moura Hakim,women,F,219.0,107.0,EG,,1993-02-01,33.0,,,
514,Fatma Al Nabhani,women,F,298.0,65.0,OM,Muscat,1991-05-20,34.0,,drive,
515,Maria Portillo Perez,women,F,89.0,494.0,ES,Sevilla,2001-03-29,24.0,,backhand,168.0
516,Carlotta Casali,women,F,78.0,627.0,IT,Roma,1993-01-30,33.0,,backhand,170.0
517,An-Sophie Mestach,women,F,520.0,22.0,BE,Wilrijk,1994-03-07,31.0,,backhand,170.0
518,Helena Wyckaert,women,F,266.0,78.0,BE,Wilrijk,1993-11-21,32.0,,backhand,159.0
519,Maria Florencia Ernandorena,women,F,382.0,36.0,AR,,1989-11-25,36.0,,,
520,Camila Acuña,women,F,520.0,22.0,PY,,,,,,
521,Veronica Cepede Royg,women,F,520.0,22.0,PY,Asunción,1992-01-21,34.0,,drive,
522,Daniela Banchero,women,F,254.0,85.0,AR,,1980-12-26,45.0,,,
523,Irene Jimenez,women,F,254.0,85.0,AR,,1990-06-06,35.0,,,
524,Marianela Montesi,women,F,128.0,269.0,IT,La Plata,1998-04-05,27.0,,backhand,170.0
525,Maria Laura Ferreyra,women,F,123.0,298.0,AR,Villa Ángela,2005-05-30,20.0,,backhand,
526,Ana Varo Ramos,women,F,83.0,548.0,ES,Marbella,1999-09-27,26.0,,drive,165.0
527,Martina Parmigiani,women,F,99.0,407.0,IT,Brescia,1994-06-16,31.0,,drive,165.0
528,Sara Errani,women,F,287.0,68.0,IT,Bologna,1987-04-29,38.0,,,
530,Johannes Lindmeyer,men,M,605.0,39.0,DE,Wuppertal,1993-01-30,33.0,,drive,186.0
531,Matthias Wunner,men,M,605.0,39.0,DE,Forchheim,1991-03-10,34.0,,backhand,183.0
532,Agustin Reca,men,M,162.0,335.0,DE,Madrid,2003-11-22,22.0,,drive,195.0
533,Victoria Kurz,women,F,79.0,603.0,DE,Karlsruhe,1999-12-19,26.0,,drive,168.0
534,Dora Andrejszki,women,F,118.0,328.0,HU,Budapest,1993-03-07,32.0,,drive,
535,Franco Dal Bianco,men,M,214.0,231.0,AR,,2000-03-04,25.0,right,,
536,Marcella Koek,women,F,81.0,581.0,NL,Leidschendam,1988-05-27,37.0,,backhand,180.0
537,Stephanie Weterings,women,F,116.0,331.0,NL,Gravenzande,1989-03-08,36.0,,drive,170.0
538,Bo Luttikhuis,women,F,96.0,433.0,NL,Amsterdam,1999-01-19,27.0,,,
539,Janine Hemmes,women,F,92.0,446.0,NL,Den haag,1997-10-13,28.0,,backhand,167.0
540,Ksenia Sharifova,women,F,33.0,1810.0,RU,Sakhalin,1996-05-01,29.0,,backhand,177.0
541,Harold Bernard,men,M,367.0,91.0,FR,,1997-07-22,28.0,,,
542,Albert Roglan Pons,men,M,140.0,397.0,ES,Barcelona,1998-11-13,27.0,,drive,190.0
543,Luis Oliver Artigas,men,M,185.0,284.0,ES,Palma de Mallorca,2003-04-15,22.0,,backhand,200.0
544,Manuel Vives,men,M,334.0,108.0,FR,París,1999-10-02,26.0,,backhand,175.0
545,Olivier Guy De Chamisso,men,M,494.0,56.0,FR,,2008-10-31,17.0,,,
546,Patricia Araus Lopez,women,F,103.0,389.0,ES,Zaragoza,2005-01-23,21.0,,drive,172.0
547,Carla Fito Fernandez,women,F,91.0,462.0,ES,Barcelona,1999-06-11,26.0,,drive,170.0
548,Dora Chamli,women,F,129.0,268.0,TN,,1996-05-04,29.0,,,
549,Chiara Messina,women,F,652.0,14.0,FR,,2002-04-05,23.0,,,
550,Elsa Pellegrinelli,women,F,652.0,14.0,FR,,1994-02-27,31.0,,,
551,Camille Sireix,women,F,143.0,221.0,FR,Paris,1997-01-03,29.0,,,
552,Melissa Martin,women,F,145.0,216.0,FR,Paris,1990-07-08,35.0,,backhand,180.0
553,Ivet Val Lopez,women,F,152.0,205.0,ES,Castellar del Vallès,2006-03-28,19.0,,,
554,Giorgia Rosi,women,F,111.0,348.0,IT,Terni,2002-10-27,23.0,,,176.0
555,Steffi Merah,women,F,159.0,193.0,FR,,2000-12-08,25.0,,,
556,Marie Amelie Dardaine,women,F,170.0,171.0,FR,,2000-05-15,25.0,,,
557,Karin Hechenberger,women,F,139.0,235.0,CH,Sarnen,1988-01-25,38.0,,drive,156.0
558,Riviere Anaise,women,F,652.0,14.0,FR,,1984-08-10,41.0,,,
559,Lucie Vichier,women,F,652.0,14.0,FR,,1991-12-13,34.0,,,
560,Alexandra Silva,women,F,153.0,201.0,PT,,2001-03-26,24.0,,,
561,Mafalda Marques Fernandes,women,F,180.0,147.0,PT,Lisboa,2001-03-15,24.0,,backhand,167.0
562,Ainhoa Navarro Fernandez,women,F,180.0,147.0,ES,Santander,2006-02-21,19.0,,,172.0
563,Angelina Neizvestnaya,women,F,136.0,242.0,RU,Moscow,2006-07-01,19.0,,backhand,166.0
564,Rosalie Van Der Hoek,women,F,94.0,440.0,NL,Singapore,1994-12-16,31.0,,drive,180.0
565,Martina Minetti,women,F,209.0,120.0,FI,Tampere,2001-05-31,24.0,,backhand,174.0
566,Aida Martinez,women,F,,,ES,,,,,,
567,Bruna Albuquerque Melo,women,F,134.0,253.0,PT,Porto,1996-03-27,29.0,,backhand,169.0
568,Carmen Azcoitia Mazo,women,F,177.0,150.0,ES,Algeciras,1997-09-30,28.0,,,164.0
569,Ana Cristina Sanchez Perez,women,F,105.0,386.0,ES,Madrid,2005-08-12,20.0,,drive,166.0
570,Kimy Barla,women,F,,,FR,,,,,,
571,Lou Lambert Agosti,women,F,244.0,89.0,FR,,2007-11-03,18.0,,,
572,Lucia Perez Parra,women,F,103.0,389.0,ES,Sevilla,2001-03-06,24.0,,drive,160.0
573,Elisabet Amatriain Armas,women,F,1413.0,,ES,Logroño,1984-03-10,41.0,,drive,161.0
574,Maria Del Carmen Villalba Sanchez,women,F,1413.0,,ES,Málaga,1987-05-20,38.0,,drive,160.0
575,Martina Fassio Goyenche,women,F,,,ES,,,,,,
576,Sandra Hernandez Camacho,women,F,1413.0,,ES,Palma de Mallorca,1986-10-31,39.0,,drive,161.0
577,Teresa Navarro,women,F,,,ES,,,,,,
578,Emily Stellato,women,F,120.0,320.0,IT,Sezze,1982-05-31,43.0,,drive,176.0
579,Giulia Sussarello,women,F,122.0,301.0,IT,Como,1992-05-29,33.0,,backhand,160.0
580,Letizia Maria Manquillo Alarda,women,F,,,ES,,,,,,
581,Patricia Maria Ribeiro,women,F,119.0,321.0,ES,Alcobaça,1986-04-10,39.0,,drive,159.0
582,Marina Martinez Lobo,women,F,,,ES,,,,,,
583,Marina Guinart,women,F,,,ES,,,,,,
584,Lorena Alonso,women,F,,,ES,,,,,,
586,Jimena Velasco,women,F,,,ES,,,,,,
587,Marina Pinacho Sanchez,women,F,1413.0,,ES,Valladolid,1989-03-20,36.0,,drive,167.0
588,Manuela Schuck Silva,women,F,109.0,356.0,BR,Porto Alegre,1998-02-13,27.0,,backhand,172.0
589,Caterina Maria Baldi,women,F,106.0,373.0,IT,Reggio Emilia,1997-09-03,28.0,,drive,
590,Valentina Tommasi,women,F,219.0,107.0,IT,Roma,1995-10-16,30.0,,backhand,170.0
591,Catarina Castro Vilela,women,F,424.0,30.0,ES,Porto,1994-12-11,31.0,,drive,169.0
592,Francesca Ligotti,women,F,150.0,209.0,IT,Torino,2001-02-21,24.0,,backhand,169.0
593,Ana Fernandez De Osso Fuentes,women,F,434.0,29.0,ES,Sevilla,1986-05-17,39.0,,backhand,167.0
594,Maria Jose Sanchez Alayeto,women,F,1413.0,,ES,Zaragoza,1984-06-20,41.0,,backhand,175.0
595,Maria Pilar Sanchez Alayeto,women,F,1413.0,,ES,Zaragoza,1984-06-20,41.0,,drive,173.0
597,Cristina Gonzalez Moro,women,F,1413.0,,ES,Bilbao,1997-05-21,28.0,,drive,160.0
598,Xenia Clasca Vidiella,women,F,102.0,390.0,ES,Barcelona,2001-09-23,24.0,,backhand,169.0
599,Julieta Bidahorria,women,F,,,AR,,,,,,
600,Mireia Herrada Ruiz,women,F,1413.0,,ES,Sabadell - Barcelona,1997-05-14,28.0,,backhand,170.0
601,Carmen Garcia Pardo,women,F,1413.0,,ES,Torre-Pacheco,1996-08-07,29.0,,backhand,160.0
602,Carmen Castillon,women,F,,,ES,,,,,,
603,Nuria Vivancos,women,F,163.0,179.0,ES,Murcia,2001-12-31,24.0,,drive,160.0
604,Carla Castillo Velarde,women,F,195.0,137.0,ES,Madrid,1997-06-26,28.0,,drive,165.0
605,Raquel Segura Aguilar,women,F,322.0,54.0,ES,Torremolinos,2001-03-12,24.0,,drive,173.0
606,Lourdes Pascual Rodriguez,women,F,1413.0,,ES,Mérida,1985-09-29,40.0,,drive,154.0
607,Ainhoa Rico Martin,women,F,597.0,16.0,ES,Madrid,1993-11-03,32.0,,backhand,172.0
608,Wendy Barsotti,women,F,1413.0,,FR,Aix en Provence,1997-01-17,29.0,,drive,169.0
609,Elodie Invernon,women,F,1413.0,,FR,Rouen,1995-08-12,30.0,,backhand,178.0
610,Carla Serrano Gonzalez,women,F,140.0,234.0,ES,Toledo,1997-11-24,28.0,,backhand,173.0
611,Lorena Vano Martin,women,F,,,IT,,,,,,
612,Maria Castañera Hernandez,women,F,1413.0,,ES,Madrid,2006-02-14,19.0,,drive,167.0
613,Jaime Menendez,men,M,1712.0,5.0,ES,Madrid,1994-03-28,31.0,,backhand,180.0
614,Borja Yribarren Abecia,men,M,2732.0,,ES,A Coruña,1979-10-17,46.0,,drive,184.0
615,Avalon Segou Jonker,women,F,577.0,18.0,NL,Capelle aan den IJssel,1994-03-29,31.0,,backhand,180.0
616,Aitana Garcia Roman,women,F,87.0,522.0,ES,Madrid,2000-11-21,25.0,,drive,155.0
617,Catarina Santos Domingos,women,F,93.0,442.0,PT,Porto,1997-01-22,29.0,,drive,173.0
618,Elena De La Rosa Ramos,women,F,146.0,215.0,ES,Sevilla,2005-06-12,20.0,,backhand,175.0
620,Alicia Alegre Masnou,women,F,494.0,24.0,ES,Madrid,2000-12-02,25.0,,backhand,167.0
621,Martina Pugliesi,women,F,1057.0,5.0,IT,Tivoli,1997-08-29,28.0,,drive,170.0
622,Elsa Terranova,women,F,138.0,239.0,IT,Parma,1999-03-09,26.0,,,
623,Maaike Betz,women,F,135.0,252.0,NL,Dordrecht,2002-09-04,23.0,,backhand,168.0
624,Margarida Fernandes,women,F,117.0,329.0,PT,Lisboa,1992-03-07,33.0,,backhand,170.0
625,Ainara Pozuelo Dominguez,women,F,149.0,210.0,ES,Tarragona,2003-09-26,22.0,,drive,173.0
627,Belar Vera Lopez,men,M,777.0,24.0,ES,Barcelona,2003-09-17,22.0,,drive,178.0
628,Pablo Nicolas Egea,men,M,559.0,45.0,AR,Córdoba,1990-11-23,35.0,,drive,179.0
629,Jacobo Perez Cendon,men,M,2732.0,,ES,Santiago de Compostela,1993-07-12,32.0,,drive,185.0
630,Adrian Rodriguez rodriguez-Manzaneque,men,M,258.0,172.0,ES,Valencia,2003-03-13,22.0,,backhand,182.0
631,Samuel Jones,men,M,402.0,80.0,GB,London,1999-12-27,26.0,,drive,180.0
632,Gustavo Ariel Aguirre,men,M,2732.0,,AR,Buones Aires,1986-05-19,39.0,,backhand,170.0
633,Raul Mendez Carranco,men,M,2732.0,,MX,Querétaro,1993-03-10,32.0,,backhand,189.0
634,Javier Perez Morillas,men,M,2126.0,3.0,ES,Arahal,1987-04-07,38.0,,backhand,189.0
635,Omar Matias Ortiz,men,M,814.0,22.0,AR,Jujuy,1998-12-23,27.0,,drive,176.0
636,Martin Araujo De Lizarza,men,M,407.0,77.0,UY,Montevideo,2002-08-14,23.0,,backhand,185.0
637,Luis Ortega Perez,men,M,2732.0,,ES,Madrid,1995-03-31,30.0,,drive,181.0
638,Lorena Alonso De Lera,women,F,156.0,198.0,ES,León,1982-06-01,43.0,,backhand,173.0
639,Amanda Girdo,women,F,1413.0,,SE,Malmö,2002-11-21,23.0,,backhand,170.0
640,Sara Mohammed Salhab,women,F,1488.0,,SA,,,,,,
641,Gimena Sol Perez,women,F,434.0,29.0,AR,,1997-04-10,28.0,,,
642,Ares Llobera Irun,women,F,287.0,68.0,ES,Lleida,1999-01-10,27.0,,drive,158.0
643,Maite Cano Pou,women,F,287.0,68.0,ES,La Garriga,1996-11-22,29.0,,backhand,175.0
644,Carolina Gallo Frias,women,F,1413.0,,ES,Málaga,1987-10-17,38.0,,backhand,165.0
645,Carolina Petrelli,women,F,254.0,85.0,IT,Segrate,1988-11-22,37.0,,backhand,165.0
646,Ana Maria Cabrejas Ruiz,women,F,137.0,240.0,MX,Ciudad de México,1991-06-06,34.0,,drive,162.0
647,Daiara Valenzuela,women,F,,,AR,,,,,,
648,Valeria Atencia Basilio,women,F,127.0,271.0,ES,Huelva,2004-04-04,21.0,,drive,162.0
649,Candela Lucendo Millan,women,F,203.0,127.0,ES,Castellón de la Plana,2005-07-01,20.0,,drive,156.0
650,Maria Natacha Grau Blanco,women,F,1413.0,,VE,,1989-08-04,36.0,,,
651,Maria Eugenia Turrillo Briquet,women,F,1413.0,,VE,,1998-09-23,27.0,,,
652,Silvana Campus,women,F,1057.0,5.0,AR,Buenos Aires,1979-09-07,46.0,,backhand,160.0
653,Gianina Minieri,women,F,236.0,99.0,CL,Independencia,1989-02-28,36.0,,,
654,Gabriela Roux Vidal,women,F,236.0,99.0,CL,Punta Arenas,1989-03-28,36.0,,drive,160.0
655,Erika Zanchetta,women,F,354.0,41.0,IT,Latina,1989-02-06,37.0,,backhand,165.0
656,Carolina Navarro,women,F,,,SE,,,,,,
657,Sandra Oliveras Gonzalez,women,F,201.0,130.0,ES,Sabadell,2006-02-19,19.0,,backhand,170.0
658,Leon David Ruiz Shannon,men,M,344.0,100.0,ES,Malaga,2008-12-18,17.0,,,184.0
659,Izan Ranera Pedrero,men,M,666.0,32.0,ES,,2008-09-10,17.0,,,
660,Kaori Peco,women,F,1413.0,,ES,Madrid,2008-04-11,17.0,,backhand,168.0
661,Claudia Escacena Montero,women,F,86.0,540.0,ES,Pueblo del Rio,2007-07-22,18.0,,backhand,162.0
662,Saana Saarteinen,women,F,692.0,13.0,FI,Tampere,1993-02-11,32.0,,drive,175.0
663,Ella Sillanpää,women,F,,,FI,,,,,,
664,Maria Catalina Tenorio Cauvet,women,F,832.0,8.0,AR,Paraná,1975-08-27,50.0,,,
665,Charlotte Soubrie,women,F,187.0,142.0,FR,Albi,1989-03-07,36.0,,backhand,165.0
666,Mora Hakim,women,F,,,EG,,,,,,
667,Alicia Cañellas,women,F,190.0,140.0,ES,,2007-08-30,18.0,,,
668,Mariam Alsarraj,women,F,1413.0,,KW,,1995-09-04,30.0,,,
669,Silvia Lopez Vidal,women,F,434.0,29.0,ES,Ferrol,1995-02-27,30.0,,,167.0
670,Alan Gabriel Ibarrola,men,M,540.0,48.0,AR,Buenos Aires,2002-12-28,23.0,,drive,186.0
671,Alejandro Alcaraz Gonzalez,men,M,700.0,29.0,MX,Ciudad de Mexico,1994-03-09,31.0,,,187.0
672,Emilio Canela Melgar,men,M,2732.0,,MX,Querétaro,2004-06-23,21.0,,drive,167.0
673,Edgar Espinosa Angelino,men,M,2732.0,,MX,Monterrey,2004-11-06,21.0,,backhand,178.0
674,Javier Hazouri Celorio,men,M,1712.0,5.0,MX,,2002-05-13,23.0,,,
675,Adriana Corona,women,F,286.0,69.0,MX,Ciudad de México,2003-01-22,23.0,,,
676,Ivana Perches Arredondo,women,F,259.0,81.0,MX,,2006-09-28,19.0,,,
677,Maria Fernanda Espinosa Gonzalez,women,F,832.0,8.0,MX,,1999-06-26,26.0,,,
678,Fantine Botella,women,F,1413.0,,FR,,1996-01-20,30.0,,,
679,Aranzazu Gallardo Muñoz,women,F,1413.0,,MX,,1973-09-30,52.0,,,
680,Natalia Blanco,women,F,180.0,147.0,MX,,1995-08-14,30.0,,,
681,Emma Karen Reyes Baca,women,F,198.0,132.0,MX,,1991-11-17,34.0,,,
682,Anahi Salas Almaraz,women,F,418.0,31.0,MX,,2005-04-01,20.0,,,
683,Anabela Salas Almaraz,women,F,507.0,23.0,MX,,2008-03-14,17.0,,,
684,Maria Jose Montoya,women,F,273.0,75.0,MX,,2008-08-13,17.0,,,
685,Annie Frida Arenas Mondragón,women,F,14.0,300.0,MX,,,,,,
686,Andrea Koch Benvenuto,women,F,692.0,13.0,CL,Santiago,1985-04-26,40.0,,backhand,174.0
687,Tia Louisa Norton,women,F,131.0,262.0,GB,Warwick,2003-08-12,22.0,,backhand,170.0
688,Clarinha Santos,women,F,113.0,339.0,PT,Porto,2006-09-13,19.0,,,160.0
689,Allison Peralta Sanchez,women,F,284.0,70.0,MX,,1998-12-06,27.0,,,
690,Dafne Paola Peralta Sanchez,women,F,259.0,81.0,MX,,1991-11-16,34.0,,,
691,Pamela López Cervantes,women,F,595.0,17.0,MX,,1994-07-29,31.0,,,
692,Alejandra Elizabeth Aguirre Corrales,women,F,326.0,53.0,MX,,1993-11-27,32.0,,,
693,Lisa Rachel Phillips,women,F,141.0,231.0,GB,Chichester,1999-01-01,27.0,,backhand,
694,Lucia Vicente Mera,women,F,207.0,122.0,ES,Madrid,2005-02-24,20.0,,drive,168.0
695,Estefania Fuentes Szymanski,women,F,2732.0,,MX,,,,,,
696,Nerea Derbis,women,F,221.0,106.0,ES,Buenos aires,2002-08-04,23.0,,drive,160.0
697,Fernanda Salazar Morales,women,F,353.0,42.0,MX,Ciudad de México,1998-02-23,27.0,,backhand,168.0
698,Sara Almanza Martinez,women,F,652.0,14.0,MX,,2000-05-05,25.0,,,
699,Maria Magraner,women,F,448.0,28.0,ES,,1999-10-10,26.0,,,
700,Jordana Ailen Lujan Ferreyra,women,F,231.0,100.0,AR,,1990-11-17,35.0,,,
701,Michela Zaccagnini,women,F,225.0,105.0,IT,Melzo,1998-11-09,27.0,,drive,173.0
702,Alexandra Alegre Ferré,women,F,342.0,47.0,ES,,1999-10-01,26.0,,,
703,Nadia Aida Acuña Lopez,women,F,306.0,61.0,CH,,2000-01-01,26.0,,,
704,Renata Martinez Becerra,women,F,156.0,198.0,MX,Torreón,2006-08-09,19.0,,backhand,163.0
705,Ainize Santamaria Landa,women,F,110.0,349.0,ES,Bilbao,2005-09-24,20.0,,backhand,171.0
706,Jemilett Cortes Figueroa,women,F,346.0,45.0,MX,,2001-11-12,24.0,,,
707,Jimena Huerta Villegas,women,F,595.0,17.0,MX,,2000-04-24,25.0,,,
708,Sofía María González Lara,women,F,382.0,36.0,MX,,1994-10-31,31.0,,,
709,Abraham Muñoz Zurita,men,M,317.0,117.0,ES,,2008-04-04,17.0,,,
710,Miguel Muñoz Zurita,men,M,315.0,118.0,ES,,2008-04-04,17.0,,,
711,Javier Garcia Caro,men,M,394.0,83.0,ES,,2008-07-10,17.0,,,
712,Alejandro Garcia Calahorro,men,M,386.0,85.0,ES,,2008-12-18,17.0,,,
713,Ana Elliot garcia-Montaner,women,F,247.0,88.0,ES,Sevilla,1996-01-19,30.0,,,167.0
714,Andrea Lima Ramirez,women,F,362.0,40.0,ES,,2001-12-22,24.0,,,
715,Maria Delgado Medina,women,F,144.0,220.0,ES,,2010-02-20,15.0,,,
716,Maria Arteaga Vilches,women,F,201.0,130.0,ES,,2009-04-15,16.0,,,
717,Fabiola Polvillo Camarero,women,F,22.0,1127.0,ES,,,,,,
718,Teresa Casero De La Casa,women,F,206.0,123.0,ES,,2006-06-03,19.0,,,
719,Amelie Detriviere,women,F,250.0,87.0,FR,,1979-06-28,46.0,,,
721,Daniel Appelgren,men,M,239.0,200.0,SE,Boras,1996-05-06,29.0,,drive,177.0
722,Marcos Gonzalez Blanco,men,M,135.0,406.0,ES,Málaga,2005-07-05,20.0,,drive,180.0
723,Iman Metwally,women,F,456.0,27.0,EG,,1982-12-14,43.0,,,
724,Claudia Ordoñez Romero,women,F,176.0,152.0,ES,Linares,2009-03-26,16.0,,backhand,165.0
727,Juan Martín Díaz,men,M,,,ES,,,,right,,
728,Agustín Gómez Silingo,men,M,2732.0,,AR,La Plata,1983-08-01,42.0,right,backhand,186.0
729,Jaime Fermosell,men,M,,,ES,,,,right,,
731,Borja Yribarren,men,M,,,ES,,,,left,,
732,Alvaro Melendez Amaya,men,M,87.0,838.0,ES,Sevilla,2000-03-22,25.0,right,drive,175.0
733,Cristobal Garcia,men,M,,,ES,,,,right,,
734,Dhari Alansari,men,M,635.0,35.0,KW,,1991-01-07,35.0,,,
736,Zenab Sarkhoo,women,F,,,KW,,,,,,
737,Dalal Al Qenaei,women,F,376.0,38.0,KW,,2005-03-05,20.0,,,
738,Eugenia Guimet,women,F,,,ES,,,,,,
739,Majed Al Janahi,men,M,555.0,46.0,AE,,2001-02-11,24.0,,,
741,Diego Garcia,men,M,1712.0,5.0,MX,,2006-01-13,20.0,,,
742,Arturo Sosa,men,M,1712.0,5.0,MX,,1994-06-12,31.0,,,
743,Diego Garcia Villalobos Blanco,men,M,1394.0,8.0,MX,,2005-03-26,20.0,,,
744,Pablo Humberto Montoya Ramirez,men,M,1078.0,13.0,MX,,2003-04-07,22.0,,,
745,Carlos Huerta,men,M,1078.0,13.0,MX,,1982-03-03,43.0,,,
746,Oscar Diaz Jauregui,men,M,907.0,18.0,MX,,2010-02-03,16.0,,,
747,Pablo Nicolas Silberman,men,M,1078.0,13.0,AR,,1992-07-18,33.0,,,
748,Jose Alberto Funes Ontivero,men,M,515.0,52.0,AR,La Rioja,2006-05-30,19.0,,,175.0
749,Argel Alexandro Albanes,men,M,798.0,23.0,MX,,2004-08-11,21.0,,,
750,Maximo Jesus Maldonado,men,M,213.0,233.0,AR,Rosario del Tala,2004-05-22,21.0,,drive,186.0
751,Francisco Maier,men,M,247.0,186.0,AR,,2006-05-27,19.0,,,
752,Lautaro Mambrini,men,M,712.0,28.0,AR,San Miguel de Tucumán,2004-07-24,21.0,,drive,181.0
753,Luis Facundo Sayes,men,M,690.0,30.0,AR,,1999-12-20,26.0,,,
754,Pablo Acevedo Iturribarria,men,M,380.0,87.0,MX,Ciudad de Mexico,1986-06-27,39.0,,drive,186.0
755,Santiago Sebastian Strazzabopo Nieves,men,M,348.0,99.0,AR,,2002-05-10,23.0,,,
756,Jose Alban Paz De La Llave,men,M,626.0,36.0,MX,,1993-10-28,32.0,,,
757,Marcelo Vidaurreta Villanueva,men,M,747.0,26.0,MX,,2006-09-14,19.0,,,
758,Alejandro Ochoa Garcia,men,M,1259.0,10.0,MX,,1992-07-24,33.0,,,
759,Juan Manuel Vergara,men,M,1712.0,5.0,AR,,2000-04-03,25.0,,,
760,Erick Eduardo Martínez Torres,men,M,874.0,20.0,MX,,1992-11-04,33.0,,,
761,Fernando Agustin Vega,men,M,907.0,18.0,AR,,1997-01-21,29.0,,,
762,Jeronimo Jose Campora,men,M,1394.0,8.0,AR,,1999-11-02,26.0,,,
763,Gaston Diaz,men,M,649.0,34.0,AR,,2000-03-18,25.0,,,
764,Mario Alberto Yañez Tapia,men,M,1078.0,13.0,MX,,1993-07-29,32.0,,,
765,Daniel Elohim,men,M,,,US,,,,,,
