id,name,category,gender,ranking,points,nationality,birthplace,birthdate,age,hand,side,height
766,Joaquin De Astoreca,men,M,288.0,137.0,AR,Tandil,2003-06-04,22.0,,backhand,175.0
767,Octavio Alvarez,men,M,277.0,146.0,AR,Pergamino,2004-05-06,21.0,,,175.0
768,Mateo Rivero,men,M,259.0,169.0,AR,,2006-05-23,19.0,,,
769,Juan Agustin Ordoñez,men,M,1259.0,10.0,MX,,1989-07-13,36.0,,,
770,Darío Gabriel Agustin Vergara,men,M,1259.0,10.0,AR,,2001-07-15,24.0,,,
771,Borja Sierra Del Val,men,M,968.0,16.0,MX,,2006-01-18,20.0,,,
772,Lautaro Angelini,men,M,1712.0,5.0,AR,,1999-06-27,26.0,,,
773,Cenith Adrian Castillo Chavez,men,M,1712.0,5.0,MX,,1991-01-24,35.0,,,
774,Quetzali Dafne Vazquez Montesinos,women,F,330.0,51.0,MX,,1998-01-01,28.0,,,
775,Regina Estrada Dieguez,women,F,448.0,28.0,MX,,1999-07-01,26.0,,,
776,Paulina Luquín Chavoya,women,F,832.0,8.0,MX,,1989-04-15,36.0,,,
777,Daniela Rodriguez Borjas Villegas,women,F,520.0,22.0,MX,,2001-11-03,24.0,,,
778,Lorena Marruffo,women,F,448.0,28.0,VE,,1999-02-23,26.0,,,
779,Fiorella Cuccioli,women,F,448.0,28.0,AR,,2002-08-15,23.0,,,
780,Lucia Escalante Diz,women,F,832.0,8.0,MX,,2006-03-18,19.0,,,
781,Natalia Reynoso Frigolet,women,F,832.0,8.0,MX,,2005-02-03,21.0,,,
782,Melissa Rodriguez Mayen,women,F,424.0,30.0,MX,,2006-05-21,19.0,,,
783,Erika Castillo Lopez,women,F,561.0,19.0,MX,,1993-04-23,32.0,,,
784,Susana Leticia Alcaraz González,women,F,456.0,27.0,MX,,1992-02-22,33.0,,,
785,Aly Zaghloul,men,M,263.0,160.0,EG,,1999-09-27,26.0,,drive,
786,Bohou Zhang,men,M,266.0,154.0,CN,,1997-01-16,29.0,,,
787,Claudia Gaspar,women,F,191.0,138.0,PT,,1995-02-11,30.0,,,
788,Constanca Gorito,women,F,148.0,211.0,PT,,2007-09-17,18.0,,,
789,Patricia Roman Aldea,women,F,,,ES,,,,,,
790,Carmen Villar Gonzalez,women,F,275.0,74.0,ES,,2006-07-11,19.0,,,
791,Maria Leonor Araujo Teixeira,women,F,61.0,285.0,PT,,,,,,
792,Ines Ferreira Cerqueira,women,F,60.0,450.0,PT,,,,,,
793,Daniela Portilla Gomez,women,F,244.0,89.0,ES,,2009-07-22,16.0,,,
795,Maria Garin,women,F,195.0,137.0,PT,,2002-09-07,23.0,,,
796,Micaela Para,women,F,247.0,88.0,PT,,2003-03-04,22.0,,,
797,Jéssica Para,women,F,247.0,88.0,PT,,2006-08-13,19.0,,,
798,Maria Francisca Santos,women,F,252.0,86.0,PT,,2009-04-02,16.0,,,
799,Maria Guimarães Perry Ferreira,women,F,284.0,70.0,PT,,1999-06-29,26.0,,,
800,Maria Castro Quevedo Pereira,women,F,273.0,75.0,PT,,2005-04-27,20.0,,,
801,Carina Costa,women,F,266.0,78.0,PT,,1987-05-29,38.0,,,
802,Luisa Roque De Pinho,women,F,210.0,118.0,PT,,2001-12-05,24.0,,,
803,Maria Do Carmo Ribeiro,women,F,401.0,33.0,PT,,2003-08-10,22.0,,,
804,Nerea Gomez Blazquez,women,F,,,ES,,,,,,
806,Marisol Fernandez Garcia,women,F,164.0,178.0,ES,,2005-05-02,20.0,,,
807,Rita Vilaça,women,F,240.0,98.0,PT,,1993-09-07,32.0,,,
808,Laura Buteau,women,F,187.0,142.0,FR,,1994-07-01,31.0,,,
809,Daniela Catarino,women,F,,,PT,,,,,,
810,Beatriz Ferreira,women,F,287.0,68.0,PT,,2006-02-11,19.0,,,
811,Covadonga Verdejo Saiz,women,F,,,ES,,,,,,
812,Martina Vera Cebollero,women,F,9.0,2000.0,ES,,,,,,
814,Aurora Buscaino,women,F,199.0,131.0,IT,,2006-07-25,19.0,,,
815,Clara Miret Llorach,women,F,183.0,146.0,ES,Fujian,2004-11-22,21.0,,drive,166.0
816,Gema Flores Saucedo,women,F,229.0,101.0,ES,,2007-01-27,19.0,,,
818,Alvaro Jauregui Sadaba,men,M,887.0,19.0,ES,,1998-01-08,28.0,,,
819,Andres Ortuño De Pablo,men,M,712.0,28.0,ES,,2008-10-03,17.0,,,
820,Marko Bilyk,men,M,2890.0,,UA,,2005-05-09,20.0,,,
821,Alberto Simon Garcia,men,M,712.0,28.0,ES,Madrid,2003-05-05,22.0,,drive,184.0
822,Francisco Gonçalves Da Silva,men,M,1559.0,7.0,PT,,2008-06-13,17.0,,,
823,Antonio Doria,men,M,2565.0,2.0,PT,,1998-03-29,27.0,,,
824,Theo Suzanna,men,M,938.0,17.0,FR,,1998-01-25,28.0,,,
825,Tristan Piombo,men,M,635.0,35.0,FR,,2004-04-13,21.0,,,
827,Diogo Alves,men,M,1028.0,14.0,PT,,2003-10-25,22.0,,,
828,Martim Solano,men,M,583.0,42.0,PT,,2003-12-03,22.0,,,
829,Diogo Moreira,men,M,657.0,33.0,PT,,2003-09-06,22.0,,,
830,Guilherme Coelho,men,M,494.0,56.0,PT,,1997-11-14,28.0,,,
831,Gonçalo Valente,men,M,677.0,31.0,PT,,2003-10-01,22.0,,,
832,Manuel Bragança,men,M,1712.0,5.0,PT,,2004-12-26,21.0,,,
833,Gabriel Morbey Basso,men,M,1175.0,11.0,PT,,1997-12-22,28.0,,,
834,Nuno Quelhas,men,M,2565.0,2.0,PT,,1993-04-24,32.0,,,
835,Xavier Cardoso,men,M,2565.0,2.0,PT,,1990-01-21,36.0,,,
836,David Fernandes,men,M,998.0,15.0,PT,,2000-10-08,25.0,,,
837,Tiago Marques Pereira,men,M,2890.0,,PT,,2006-04-28,19.0,,,
838,Nuno Sa,men,M,1151.0,12.0,PT,,1996-08-22,29.0,,,
839,Luciano Miguel Piñero,men,M,2085.0,4.0,AR,,2003-03-28,22.0,,,
840,Henrique Brazão,men,M,427.0,71.0,PT,,2000-11-29,25.0,,,
841,Vasco Mensurado,men,M,590.0,40.0,PT,,1994-04-01,31.0,,,
842,Antonio Garcia Fernandez,men,M,490.0,57.0,ES,,2008-02-13,17.0,,,
843,Carlos Miguel Ramoa,men,M,2565.0,2.0,PT,,1997-10-30,28.0,,,
844,Guilherme Baptista,men,M,2890.0,,PT,,1999-10-20,26.0,,,
845,Manuel Correia,men,M,747.0,26.0,PT,,2002-10-17,23.0,,,
846,Antonio Pedro Pragana,men,M,907.0,18.0,PT,,2001-07-26,24.0,,,
847,Pedro Parada,men,M,1559.0,7.0,PT,,2004-09-07,21.0,,,
848,Guilherme Alves,men,M,1559.0,7.0,PT,,2004-08-19,21.0,,,
849,Leonardo Ariel Torres,men,M,968.0,16.0,AR,,1998-08-01,27.0,,,
850,André Monteiro Maia,men,M,938.0,17.0,PT,,1994-06-20,31.0,,,
851,Sergio Garcia Rodriguez,men,M,2890.0,,ES,,2006-02-07,20.0,,,
852,Nuno Baptista,men,M,2890.0,,PT,,2005-10-04,20.0,,,
853,Jaime Lobo Wordsworth,men,M,505.0,54.0,GB,,2005-06-05,20.0,,,
854,Ben Phillips,men,M,618.0,37.0,GB,,2008-10-02,17.0,,,
855,Vasco Estevens Barbosa,men,M,887.0,19.0,PT,,2006-07-04,19.0,,,
856,Diogo Veiga Pereira,men,M,605.0,39.0,PT,,2006-04-21,19.0,,,
858,Angel Deza Torrecilla,men,M,1712.0,5.0,ES,,2006-07-07,19.0,,,
859,Bernardo Terroso,men,M,2565.0,2.0,PT,,1998-05-04,27.0,,,
860,Tiago Fernandes,men,M,712.0,28.0,PT,,1996-10-11,29.0,,,
861,Guilherme Lupi,men,M,2890.0,,PT,,2005-10-10,20.0,,,
862,Guilherme Moreira,men,M,2890.0,,PT,,2002-10-29,23.0,,,
863,Ivo Rodrigues,men,M,1559.0,7.0,PT,,1996-09-14,29.0,,,
864,Bernardo Roque,men,M,733.0,27.0,PT,,1998-03-17,27.0,,,
865,Manuel Ramírez Pérez,men,M,159.0,175.0,ES,,,,,,
866,Pedro Jesús Robles Rodríguez,men,M,938.0,17.0,ES,Cadiz,1994-12-19,31.0,,backhand,180.0
867,Javier García Caro,men,M,394.0,83.0,ES,,2008-07-10,17.0,,,
868,Pedro Sousa Martinez,men,M,470.0,61.0,ES,,2003-02-07,23.0,,,
869,Ali Dawani,men,M,320.0,115.0,BH,,2000-12-15,25.0,,,
870,Julien Biron,men,M,490.0,57.0,FR,,2005-10-28,20.0,,,
871,Lucas Filippini,men,M,635.0,35.0,FR,,2000-04-12,25.0,,,
872,Jorrit Notenboom,men,M,309.0,121.0,NL,Haarlem,2002-07-23,23.0,,drive,180.0
873,Cameron Dollimore,men,M,337.0,104.0,GB,,2001-08-28,24.0,,,
874,Kazuki Tomita,men,M,386.0,85.0,JP,,1995-02-01,31.0,,,
875,Nicolas Zurita,men,M,156.0,359.0,IT,Mar del Plata,2004-04-25,21.0,,backhand,187.0
876,Imran Danill Van Dijk,men,M,421.0,74.0,NL,,2005-08-31,20.0,,,
877,Lars Du Pree,men,M,436.0,68.0,NL,,2003-12-18,22.0,,,
878,Austin Varghese,men,M,470.0,61.0,IN,,1982-06-12,43.0,,,
879,Pol Alsina,men,M,360.0,93.0,ES,Gavà,1991-12-24,34.0,,drive,168.0
880,Marc Bernils Garcia,men,M,288.0,137.0,ES,Barcelona,1999-02-25,26.0,,,185.0
881,Jarrett Laabs,men,M,649.0,34.0,US,,1972-12-25,53.0,,,
882,David Quiros Peiro,men,M,470.0,61.0,ES,,1995-11-23,30.0,,,
883,Aimee Gibson,women,F,90.0,492.0,GB,London,1991-08-21,34.0,,drive,160.0
884,Charlotte Atkinson,women,F,,,GB,,,,,,
885,Liza Groenveld,women,F,162.0,184.0,NL,Amsterdam,1994-03-15,31.0,,,
886,Tess De Vocht,women,F,169.0,172.0,NL,,2003-11-06,22.0,,,
887,Kae Tokumoto,women,F,151.0,208.0,JP,,1991-04-20,34.0,,,
888,Saki Tsukamoto,women,F,178.0,149.0,JP,,1991-06-04,34.0,,,
889,Pascalle Thenoux,women,F,362.0,40.0,CL,,1993-09-06,32.0,,,
890,Chifumi Sato,women,F,218.0,108.0,JP,,2000-10-07,25.0,,,
891,Anne Sophie Tavan,women,F,,,FR,,,,,,
892,Rio Yamada,women,F,466.0,26.0,JP,,1992-01-23,34.0,,,
893,Aki Kitao,women,F,466.0,26.0,JP,,1987-09-04,38.0,,,
894,Patricia Araus López,women,F,103.0,389.0,ES,Zaragoza,2005-01-23,21.0,,drive,172.0
895,Zhai Yu,women,F,271.0,77.0,CN,,1994-11-15,31.0,,,
896,Sayaka Yoshimoto,women,F,302.0,63.0,JP,,1984-07-05,41.0,,,
897,Minghui Wu,women,F,382.0,36.0,CN,,1982-03-10,43.0,,,
898,Fuman Xie,women,F,,,CN,,,,,,
899,Kotomi Ozawa,women,F,171.0,168.0,JP,,1998-04-02,27.0,,,
900,Elisabeth Nogueras,women,F,,,ES,,,,,,
901,Alexia Dalley,women,F,456.0,27.0,AU,,1986-11-21,39.0,,,
902,Yoshino Kushima,women,F,168.0,173.0,JP,,1998-03-27,27.0,,,
903,Rieko Maruyama,women,F,401.0,33.0,JP,,1982-02-13,43.0,,,
904,Francisco Goncalves Da Silva,men,M,1559.0,7.0,PT,,2008-06-13,17.0,,,
905,Miguel Vieira,men,M,968.0,16.0,PT,,2000-01-01,26.0,,,
906,Joel Losana,men,M,1394.0,8.0,ES,,1995-10-24,30.0,,,
907,Samuel Pontes,men,M,612.0,38.0,ES,,2005-06-21,20.0,,,
908,Iago Fuertes Leonardo,men,M,29.0,1200.0,ES,,,,,,
909,Plinio Ferrao,men,M,338.0,103.0,PT,,2002-03-01,23.0,,,
910,Ignacio Alonso Chillaron,men,M,282.0,143.0,ES,Valencia,2005-05-17,20.0,,drive,182.0
911,Vega Cano Ortin,women,F,208.0,121.0,ES,,2009-05-22,16.0,,,
912,Carla Aguila Tello,women,F,652.0,14.0,ES,,2010-07-04,15.0,,,
913,Clara Sofia Martins Santos Faria Leite,women,F,411.0,32.0,PT,,2002-07-11,23.0,,,
914,Francisca Bragança,women,F,326.0,53.0,PT,,2009-11-10,16.0,,,
915,Carolina Martinho Santos,women,F,38.0,750.0,PT,,,,,,
916,Nura Padilla Tomasa,women,F,315.0,56.0,ES,,2008-10-06,17.0,,,
917,Beatriz Gueiral,women,F,51.0,550.0,PT,,,,,,
918,Diana Silva,women,F,520.0,22.0,PT,,1990-10-30,35.0,,,
919,Maria Fontes Vaz Ferreira,women,F,340.0,48.0,PT,,2006-02-09,19.0,,,
920,Sofia Carmo Machado,women,F,343.0,46.0,PT,,2000-01-11,26.0,,,
921,Angela Navarro Garcia,women,F,481.0,25.0,ES,,2009-03-02,16.0,,,
922,Daniela Jurado Cerezo,women,F,80.0,300.0,ES,,,,,,
923,Susana Martin Marin,women,F,271.0,77.0,ES,,2009-01-08,17.0,,,
924,Pedro Perry,men,M,217.0,225.0,PT,Porto,2001-09-06,24.0,,backhand,182.0
925,Constança Gorito,women,F,148.0,211.0,PT,,2007-09-17,18.0,,,
926,Manuel Ramirez Perez,men,M,159.0,175.0,ES,,,,,,
927,Pedro Jesus Robles Rodriguez,men,M,938.0,17.0,ES,Cadiz,1994-12-19,31.0,,backhand,180.0
928,Jessica Para,women,F,247.0,88.0,PT,,2006-08-13,19.0,,,
929,Jose Pablo Garza De La Peña,men,M,907.0,18.0,MX,,2010-03-26,15.0,,,
930,Santiago Gonzalez,men,M,1712.0,5.0,MX,,1983-02-24,42.0,,,
931,Bruno Alfaro,men,M,1712.0,5.0,AR,,1991-01-04,35.0,,,
932,Nicolás Borgatta,men,M,2890.0,,AR,,1986-11-29,39.0,,,
933,David Andrés Agüero Mateo,men,M,,,EC,,,,,,
934,Daniel Andrés Agüero Mateo,men,M,6.0,665.0,EC,,,,,,
935,Matias Emiliano Gutierrez,men,M,,,AR,,,,,,
936,Joaquin Garcia,men,M,2890.0,,MX,,2005-05-10,20.0,,,
937,Murat Cornejo,men,M,2890.0,,MX,,2005-04-29,20.0,,,
938,José Alban Paz De La Llave,men,M,626.0,36.0,MX,,1993-10-28,32.0,,,
939,Aldo Castelan,men,M,2890.0,,MX,,2004-12-17,21.0,,,
940,Francisco Javier Carro Revuelta,men,M,2890.0,,MX,,1993-06-08,32.0,,,
942,Hector Dubuc,men,M,2890.0,,MX,,2002-01-11,24.0,,,
943,Elias Nasif,men,M,764.0,25.0,AR,Córdoba,1993-03-24,32.0,,,172.0
944,Koen Hugo Kachanoski Echeverria,men,M,2890.0,,MX,,2008-05-03,17.0,,,
945,Rodolfo Perez Bravo,men,M,2890.0,,MX,,2008-03-22,17.0,,,
946,Matías Angel Paredes,men,M,1712.0,5.0,AR,,2005-01-14,21.0,,,
947,Marcelo Antonio Godoy,men,M,1712.0,5.0,AR,,2006-05-06,19.0,,,
949,Matias Ilardia Meyer,men,M,2732.0,,UY,,,,,,
951,Gonzalo Federico Luis Lopez,men,M,,,AR,,,,,,
952,Hugo Martinez Toral,men,M,1712.0,5.0,MX,,2007-04-12,18.0,,,
954,Jesus Amezcua Virues,men,M,2890.0,,MX,,1997-03-05,28.0,,,
955,Gonzalo Federico Lopez,men,M,500.0,55.0,AR,,2001-05-11,24.0,,,
956,Sebastian Domínguez Remis,men,M,1078.0,13.0,MX,,2003-09-03,22.0,,,
957,Juan Pablo Bello,men,M,2890.0,,MX,,1996-09-13,29.0,,,
958,Alexander Espinoza Palmeros,men,M,2890.0,,MX,,2000-04-17,25.0,,,
959,Matias Angel Paredes,men,M,1712.0,5.0,AR,,2005-01-14,21.0,,,
960,Lucas Franco Rodriguez,men,M,690.0,30.0,AR,,1998-09-08,27.0,,,
961,Mauricio Juarez,men,M,2890.0,,MX,,2002-02-23,23.0,,,
962,Nicolas Borgatta,men,M,2890.0,,AR,,1986-11-29,39.0,,,
963,David Aguero,men,M,1712.0,5.0,EC,,2007-01-22,19.0,,,
964,Daniel Agüero Mateo,men,M,81.0,65.0,EC,,,,,,
965,Patricia Aburto,women,F,,,MX,,,,,,
966,Debra Fernanda Gonzalez Preciado,women,F,418.0,31.0,MX,,1997-09-16,28.0,,,
967,Diego Arredondo García,men,M,136.0,401.0,MX,Metepec,2007-09-02,18.0,,drive,163.0
968,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
969,Catarina Santos,women,F,,,PT,,,,,,
970,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
971,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
972,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
973,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
974,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
975,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
976,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
977,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
978,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
979,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
980,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
981,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
982,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
983,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
984,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
985,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
986,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
987,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
988,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
989,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
990,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
991,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
992,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
993,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
994,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
995,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
996,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
997,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
998,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
999,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1000,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1001,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1002,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1003,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1004,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1005,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1006,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1007,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1008,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1009,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1010,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1011,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1012,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1013,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1014,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1015,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1018,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1019,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1020,Manuel Castaño,men,M,,,ES,,,,,,
1021,Adrian Marques,men,M,,,ES,,,,,,
1022,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1023,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1024,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1025,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1028,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1029,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1031,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1032,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1035,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1036,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1039,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1040,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1041,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1043,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1046,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1047,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1048,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1049,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1050,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1051,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1052,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1054,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1055,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1056,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1060,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1061,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1062,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1065,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1066,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1067,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1069,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1071,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1072,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1073,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1075,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1080,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1082,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1083,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1084,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1085,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1087,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1089,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1092,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1093,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1094,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1095,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1097,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1099,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1101,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1102,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1103,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1109,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1112,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1114,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1118,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1120,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1123,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1124,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1127,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1128,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1129,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1130,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1134,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1140,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1141,Maria Teresa Moriñigo Gomez,women,F,,,ES,,,,,,
1142,Blanca Arriola Cerrejon,women,F,,,ES,,,,,,
1144,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1146,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1148,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1149,Jeremy Robert,men,M,,,FR,,,,,,
1155,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1158,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1160,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1162,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1164,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1166,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1171,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1172,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1175,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1177,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1181,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1189,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1191,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1192,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1197,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1202,Carlotta Casali Vannicelli,women,F,,,IT,,,,,,
1204,Eugenia Guimet Bigas,women,F,,,ES,,,,,,
