title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Raquette de padel Macron Poseidon Shadow ll,Macron,Raquettes,244.9,11601,2025-11-14 10:37:20+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Tridens Stealth Pro,Macron,Raquettes,338.9,11600,2025-11-14 10:21:13+00:00,forme,mousse,,carbone,sablée,noir,,,,
Raquette de padel Macron Ares Pro,Macron,Raquettes,288.9,11598,2025-11-14 09:26:38+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Macron Leonidas Light,Macron,Raquettes,168.9,11597,2025-11-14 09:01:00+00:00,forme,mousse,,carbone,,bleu,,,,weight
Raquette de padel Macron Leonidas,Macron,Raquettes,168.9,11596,2025-11-14 08:36:56+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Poseidon Premium,Macron,Raquettes,244.9,11595,2025-11-13 15:49:40+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Macron Tridens Pro,Macron,Raquettes,344.9,11594,2025-11-13 15:43:02+00:00,forme,mousse,,carbone,sablée,noir,,,,poids
Raquette de padel Macron Next Gen l Junior,Macron,Raquettes,98.9,11805,2025-11-13 08:56:52+00:00,forme,mousse,,,,noir,,,,weight
Raquette de padel Macron Aspire Control l,Macron,Raquettes,248.9,11804,2025-11-13 08:40:56+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Macron Elite Control l,Macron,Raquettes,298.9,11803,2025-11-13 08:05:32+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Hero Pro Control l,Macron,Raquettes,348.9,11802,2025-11-12 16:06:21+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Aspire Power l,Macron,Raquettes,248.9,11801,2025-11-12 15:33:59+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Macron Elite Power l,Macron,Raquettes,298.9,11800,2025-11-12 14:48:55+00:00,forme,mousse,,carbone,,noir,attaque,,,
Raquette de padel Macron Hero Pro Power l,Macron,Raquettes,348.9,11575,2025-11-12 13:53:07+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Nox X-Hero Bleu 2026,Nox,Raquettes,64.9,11806,2025-11-19 09:04:31+00:00,forme,mousse,,carbone,,bleu,,,,poids
Raquette de padel Nox X-Zero Bleu 2026,Nox,Raquettes,64.9,11809,2025-11-19 10:07:43+00:00,forme,mousse,,carbone,,bleu,,,,poids
Raquette de padel Nox X-Zero Rouge 2026,Nox,Raquettes,64.9,11808,2025-11-19 10:04:06+00:00,forme,mousse,,carbone,,rouge,,,,poids
Raquette de padel Nox X-Hero Rouge 2026,Nox,Raquettes,64.9,11807,2025-11-19 09:12:35+00:00,forme,mousse,,carbone,,rouge,,,,poids
Raquette de padel Bullpadel Vertex 02 Hybrid Carbon,Bullpadel,Raquettes,139.9,7924,2024-09-16 12:27:46+00:00,forme,mousse,,carbone,,noir,polyvalente,,,
Raquette de padel Bullpadel Vertex 02 Hybrid,Bullpadel,Raquettes,109.9,7925,2024-09-16 13:02:11+00:00,forme,mousse,,carbone,sablée,,polyvalente,,,
Raquette de padel Bullpadel Neuron Cloud 2025,Bullpadel,Raquettes,189.9,9603,2025-03-03 07:41:44+00:00,,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Indiga Power 2025,Bullpadel,Raquettes,74.9,8774,2024-12-26 07:42:47+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Head Bolt Noir 2025,Head,Raquettes,89.9,9812,2025-03-17 08:53:14+00:00,forme,foam,,carbone,,noir,,,,
Raquette de padel Tecnifibre Wall Breaker 360 W,Tecnifibre,Raquettes,89.9,9167,2025-02-05 10:54:22+00:00,forme,foam,,carbone,,,,,,
Mini Raquette Head Speed Pro,Head,Accessoire,24.9,11430,2025-10-30 15:40:21+00:00,,,,,,,,,,
Mini Raquette Head Coello Pro,Head,Accessoire,24.9,11427,2025-10-30 14:58:19+00:00,,,,,,,,,,
Raquette de padel Head Extreme Pro LTD 2024 Arturo Coello,Head,Raquettes,149.9,7418,2024-05-30 07:10:53+00:00,forme,foam,,carbone,sablée,rouge,,,,poids
Raquette de padel Sane Assassin Tactic Alutex,Sane,Raquettes,129.9,11424,2025-10-30 13:20:42+00:00,forme,mousse,,,,,,,,
Raquette de padel Sane Assassin Tactic 3K,Sane,Raquettes,149.9,11423,2025-10-30 13:03:00+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Sane Assassin Tactic Fiber,Sane,Raquettes,99.9,11422,2025-10-30 10:54:40+00:00,forme,mousse,,,,bleu,,,,
Raquette de padel Sane Agressor Evolution Tactic,Sane,Raquettes,189.9,11421,2025-10-30 10:31:54+00:00,forme,mousse,,,,,polyvalente,,,
Raquette de padel Sane Cinetik 28 Stealth Javi Ruiz,Sane,Raquettes,229.9,11420,2025-10-30 09:52:45+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Sane Potential Intermediate Edition,Sane,Raquettes,149.9,11419,2025-10-30 09:16:35+00:00,,mousse,expert,carbone,,,,,,
Raquette de padel Sane Potential Advanced Edition,Sane,Raquettes,189.9,11418,2025-10-30 09:07:30+00:00,forme,mousse,,,,white,attaque,,,
Pack Bullpadel Vertex 04 Comfort Homme 2025,Bullpadel,Raquettes,209.9,10549,2025-07-01 10:11:19+00:00,forme,mousse,,carbone,,noir,,,homme,weight
Pack Bullpadel Vertex 04 Femme 2025,Bullpadel,Raquettes,209.9,10518,2025-06-26 07:38:14+00:00,forme,mousse,,carbone,,,,,femme,weight
Raquette de padel Bullpadel Ionic Control FIP Edition,Bullpadel,Raquettes,119.9,5581,2023-10-04 12:53:41+00:00,forme,mousse,,carbone,,,,,,
RAQUETTE DE TEST - Wilson Bela Pro V3 2025,Wilson,Programme test,150.0,11357,2025-10-27 07:45:53+00:00,,,,,,,,,,
RAQUETTE DE TEST - Wilson Bela LS V3 2025,Wilson,Programme test,150.0,11356,2025-10-27 07:35:28+00:00,,,,,,,,,,
RAQUETTE DE TEST - Wilson Bela V3 2025,Wilson,Programme test,150.0,11355,2025-10-27 07:33:07+00:00,,,,,,,,,,
Pack Wilson Optix XP,Wilson,Raquettes,99.9,11277,2025-10-22 07:58:20+00:00,forme,foam,,,,rouge,,,,
Raquette de padel Bullpadel Indiga Woman 2026,Bullpadel,Raquettes,79.9,11213,2025-10-14 12:40:45+00:00,forme,mousse,,carbone,,white,,,,
Raquette de padel Bullpadel Indiga Control 2026,Bullpadel,Raquettes,79.9,11212,2025-10-14 12:40:42+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Bullpadel Indiga Power 2026,Bullpadel,Raquettes,79.9,11211,2025-10-14 12:40:40+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Indiga Girl 2026,Bullpadel,Raquettes,59.9,11210,2025-10-14 12:40:38+00:00,forme,mousse,,carbone,,,polyvalente,,,poids
Raquette de padel Bullpadel Indiga Boy 2026,Bullpadel,Raquettes,59.9,11209,2025-10-14 12:40:36+00:00,forme,mousse,,carbone,,bleu,polyvalente,,,poids
Raquette de padel Siux Beat Kid 2 2026,Siux,Raquettes,78.9,11351,2025-10-24 13:42:49+00:00,forme,mousse,,,,,,,,weight
Raquette de padel Siux Beat Junior 2 2026,Siux,Raquettes,88.9,11350,2025-10-24 13:42:19+00:00,forme,mousse,,,,rouge,,,,weight
Raquette de padel Siux Beat Hybrid Air 3 2026,Siux,Raquettes,98.9,11349,2025-10-24 13:39:56+00:00,forme,mousse,,,,,attaque,,,
Raquette de padel Siux Beat Hybrid 3 2026,Siux,Raquettes,89.9,11348,2025-10-24 13:31:01+00:00,forme,mousse,,,,,attaque,,,
Raquette de padel Siux Astra Go Hybrid Air 2026,Siux,Raquettes,148.9,11345,2025-10-24 12:51:32+00:00,forme,mousse,,carbone,sablée,,polyvalente,,,weight
Raquette de padel Siux Astra Go Control 2026,Siux,Raquettes,148.9,11344,2025-10-24 12:51:16+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Siux Astra Go Hydrid 2026,Siux,Raquettes,148.9,11346,2025-10-24 12:51:14+00:00,forme,mousse,,carbone,sand,,polyvalente,,,
Raquette de padel Siux Beat Control 3 2026,Siux,Raquettes,98.9,11347,2025-10-24 12:50:33+00:00,forme,mousse,,,,,,,,
Raquette de padel Siux GEA 2 2026,Siux,Raquettes,269.9,11343,2025-10-24 12:08:30+00:00,forme,mousse,,,sablée,,,,,
Raquette de padel Siux Fenix Elite VI 2026,Siux,Raquettes,269.9,11340,2025-10-24 09:51:58+00:00,forme,mousse,,carbone,sand,,,,,
Raquette de padel Siux Electra ST5 Elite 2026,Siux,Raquettes,269.9,11339,2025-10-24 09:37:38+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Siux Trilogy Elite 6 2026,Siux,Raquettes,269.9,11337,2025-10-24 09:17:43+00:00,forme,mousse,,carbone,sand,bleu,,,,
Raquette de padel Siux Electra ST5 Stupa Pro Noir 2026,Siux,Raquettes,349.9,11331,2025-10-24 08:26:38+00:00,forme,mousse,,carbone,sablée,noir,attaque,,,
Raquette de padel Siux Fenix Pro VI Violet By Leo Augsbuger 2026,Siux,Raquettes,349.9,11332,2025-10-24 08:19:19+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Siux Electra ST5 Stupa Pro Rouge 2026,Siux,Raquettes,349.9,11330,2025-10-24 08:12:34+00:00,forme,mousse,,carbone,sand,rouge,,,,
Raquette de padel Siux Trilogy Pro 6 Vert 2026,Siux,Raquettes,349.9,11326,2025-10-24 07:27:16+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Siux Trilogy Pro 6 Noir 2026,Siux,Raquettes,349.9,11327,2025-10-24 07:24:27+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Siux Pegasus Elite 4 2026,Siux,Raquettes,269.9,11341,2025-10-24 10:17:29+00:00,forme,mousse,,carbone,sand,,,,,poids
Raquette de padel Siux Pegasus Pro 4 Gris 2026,Siux,Raquettes,349.9,11335,2025-10-24 08:48:07+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Siux Valkiria Pro by Sofia Araújo 2026,Siux,Raquettes,349.9,11334,2025-10-24 08:45:56+00:00,forme,mousse,,carbone,,,attaque,,,weight
Raquette de padel Siux Valkiria Elite 2 2026,Siux,Raquettes,269.9,11342,2025-10-24 12:05:53+00:00,forme,mousse,,carbone,sablée,bleu,,,,weight
Raquette de padel Siux Diablo Elite 6 2026,Siux,Raquettes,269.9,11338,2025-10-24 09:34:04+00:00,forme,mousse,,carbone,sand,,,,,
Raquette de padel Siux Pegasus 4 Orange 2026,Siux,Raquettes,349.9,11336,2025-10-24 08:52:00+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Siux Diablo Pro Bleu Marine 2026,Siux,Raquettes,349.9,11329,2025-10-24 07:27:40+00:00,forme,mousse,,carbone,,bleu,attaque,,,
Raquette de padel Siux Diablo Pro Bleu 2026,Siux,Raquettes,349.9,11328,2025-10-24 07:23:23+00:00,forme,mousse,,carbone,,bleu,,,,
Raquette de padel Bullpadel Vertex 04 Mexico,Bullpadel,Raquettes,219.9,7130,2024-03-22 10:09:52+00:00,forme,mousse,expert,carbone,,,,,,weight
Poids de tête de raquettes Shockout Gravity +,Shockout,Accessoire,8.9,11150,2025-10-06 07:54:23+00:00,,,,,,,,,,poids
Raquette de padel Pallap Velocity Control Team Light,Pallap,Raquettes,99.9,10454,2025-06-17 13:09:46+00:00,forme,mousse,,,,,,,,poids
Raquette de padel Tecnifibre Wall Breaker 375,Tecnifibre,Raquettes,72.9,3865,2023-02-21 09:15:30+00:00,forme,mousse,expert,carbone,,noir,polyvalente,,,
Raquette de padel Head Delta Junior,Head,Raquettes,59.9,1477,2022-01-25 16:23:58+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Head Speed Pro,Head,Raquettes,154.9,3423,2022-12-05 10:42:47+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Head Speed Pro X,Head,Raquettes,159.9,3413,2022-12-02 10:10:17+00:00,forme,foam,expert,carbone,,,,,,
Raquette de padel Head Speed Motion,Head,Raquettes,129.0,3421,2022-12-02 11:24:47+00:00,forme,foam,expert,carbone,,,polyvalente,,,
Raquette de padel Bullpadel Discover Power 2026,Bullpadel,Raquettes,59.9,11127,2025-09-29 07:18:14+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Discover Control 2025,Bullpadel,Raquettes,59.9,11125,2025-09-29 06:20:48+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Siux Spyder 4 Attack Flex 2025,Siux,Raquettes,74.9,10882,2025-09-15 07:50:15+00:00,forme,mousse,,carbone,,,,,,
Mini raquette Head Radical Pro,Head,Accessoire,24.9,10638,2025-07-17 13:23:34+00:00,,,,,,,,,,
Raquette de padel Royal Padel R Pro Japan,Royal Padel,Raquettes,319.9,11167,2025-10-10 08:31:10+00:00,forme,,,carbone,sablée,,,,,poids
RAQUETTE DE TEST - Raquette de padel Bullpadel XPLO Comfort 2026,Bullpadel,Programme test,150.0,10912,2025-09-16 09:33:11+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel XPLO 2026,Bullpadel,Programme test,150.0,10910,2025-09-16 09:29:18+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Neuron 02 2026,Bullpadel,Programme test,150.0,10909,2025-09-16 09:28:24+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Vertex 05 Hybrid 2026,Bullpadel,Programme test,150.0,10907,2025-09-16 09:23:50+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Neuron 02 Edge 2026,Bullpadel,Programme test,150.0,10905,2025-09-16 09:21:27+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Vertex 05 GEO 2026,Bullpadel,Programme test,150.0,10903,2025-09-16 09:19:55+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Vertex 05 2026,Bullpadel,Programme test,150.0,10899,2025-09-16 09:16:03+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Icon 2026,Bullpadel,Programme test,150.0,10900,2025-09-16 09:15:45+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Hack 04 Comfort 2026,Bullpadel,Programme test,150.0,10896,2025-09-16 09:10:44+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Vertex 05 Woman 2026,Bullpadel,Programme test,150.0,10895,2025-09-16 09:08:25+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Hack 04 Hybrid 2026,Bullpadel,Programme test,150.0,10893,2025-09-16 09:06:44+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Flow Legend 2026,Bullpadel,Programme test,150.0,10891,2025-09-16 08:55:28+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Elite Woman 2026,Bullpadel,Programme test,150.0,10888,2025-09-16 08:41:55+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Hack 04 2026,Bullpadel,Programme test,150.0,10886,2025-09-16 08:30:28+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Bullpadel Wonder 2026,Bullpadel,Programme test,150.0,10885,2025-09-16 08:25:22+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Head Extreme Team 2025,Head,Programme test,150.0,10875,2025-09-10 13:05:04+00:00,,,,,,,,,,
RAQUETTE DE TEST - Head Extreme Motion 2025,Head,Programme test,150.0,10873,2025-09-10 12:48:19+00:00,,,,,,,,,,
RAQUETTE DE TEST - Raquette de padel Head Extreme Pro 2025,Head,Programme test,150.0,10871,2025-09-10 12:40:48+00:00,,,,,,,,,,
Raquette de padel Black Crown Piton White 2025,Black Crown,Raquettes,159.9,10884,2025-09-16 07:22:04+00:00,forme,mousse,,carbone,sablée,white,,,,
Raquette de padel Black Crown Piton White Soft 2025,Black Crown,Raquettes,139.9,10883,2025-09-16 07:18:21+00:00,forme,mousse,,carbone,sablée,white,attaque,,,
Raquette de padel Siux Spyder 4 Control Flex 2025,Siux,Raquettes,79.9,10881,2025-09-12 14:49:10+00:00,forme,mousse,,,,,,,,
Raquette de padel Adidas Cross It Carbon 3.4 Maxi Arce 2025,Adidas,Raquettes,219.9,10780,2025-08-05 14:42:18+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Adidas Adipower 10 Anniversary 2025,Adidas,Raquettes,349.9,10760,2025-07-30 12:43:04+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Black Crown Piton Air 12K 2024,Black Crown,Raquettes,134.9,6453,2024-01-15 13:08:21+00:00,forme,mousse,,carbone,sablée,white,attaque,,,
Raquette de padel Head Elite LTD 2025,Head,Raquettes,279.9,10827,2025-09-03 09:14:29+00:00,forme,foam,,carbone,,,,,,
Raquette de padel Wilson Blade Pro V2 Gold,Wilson,Raquettes,189.9,3686,2023-01-25 10:19:07+00:00,forme,mousse,,carbone,,noir,polyvalente,,,
Raquette de padel Volt 900 V23,Volt,Raquettes,119.9,7355,2024-05-02 12:45:24+00:00,forme,mousse,,carbone,sablée,noir,polyvalente,,,
Raquette de padel Volt 1000 V23,Volt,Raquettes,129.9,7353,2024-05-02 09:51:26+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Nox Equation Soft Advanced 2026,Nox,Raquettes,124.9,11123,2025-09-26 09:23:20+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Nox AT Pro Cup Soft 2026,Nox,Raquettes,199.9,11121,2025-09-26 08:17:23+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Nox Equation Hard Advanced 2026,Nox,Raquettes,124.9,11120,2025-09-26 08:12:18+00:00,,mousse,,carbone,,noir,,,,poids
Raquette de padel Nox AT Pro Cup Hard 2026,Nox,Raquettes,199.9,11119,2025-09-26 07:59:20+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Nox Ventus Hybrid 12k Lite 2026,Nox,Raquettes,299.9,11118,2025-09-26 07:23:47+00:00,forme,mousse,,carbone,sablée,bleu,attaque,,,poids
Raquette de padel Nox VK10 Ventus Control 12K by Aranzazu Osoro 2026,Nox,Raquettes,299.9,11117,2025-09-25 06:04:11+00:00,forme,mousse,,carbone,sablée,,attaque,,,poids
Raquette de padel Nox ML10 Ventus Control 3K 2026,Nox,Raquettes,339.9,11116,2025-09-24 14:37:08+00:00,forme,mousse,,carbone,,,attaque,,,poids
Raquette de padel Nox EA10 Ventus Hybrid 12K Xtreme 2026,Nox,Raquettes,339.9,11115,2025-09-24 14:21:01+00:00,forme,mousse,,carbone,sablée,rouge,polyvalente,,,
Raquette de padel Nox EA10 Ventus Attack 12k Xtreme 2026,Nox,Raquettes,339.9,11114,2025-09-24 14:20:45+00:00,forme,mousse,,carbone,sablée,,attaque,balance,,weight
Raquette de padel Nox AT10 Genius 12K Alum Xtreme Lite 2026,Nox,Raquettes,339.9,11112,2025-09-24 13:13:57+00:00,forme,mousse,,carbone,sablée,white,attaque,balance,,weight
Raquette de padel Nox AT10 Genius Attack 12K Alum Xtreme 2026,Nox,Raquettes,359.9,11113,2025-09-24 13:13:30+00:00,forme,,,carbone,,,attaque,balance,,weight
Raquette de padel Nox AT10 Genius 12K Alum Xtreme by Agustín Tapia 2026,Nox,Raquettes,389.9,11111,2025-09-24 12:16:50+00:00,forme,mousse,,carbone,sablée,noir,,balance,,weight
Raquette de padel Nox AT10 Genius Attack 18k Alum 2026,Nox,Raquettes,359.9,11110,2025-09-24 12:14:56+00:00,forme,mousse,,carbone,sablée,,attaque,balance,,weight
Raquette de padel Nox AT10 Genius 18K Alum 2026,Nox,Raquettes,389.9,11109,2025-09-24 12:13:59+00:00,forme,,,carbone,,noir,polyvalente,balance,,weight
Raquette de padel Prince Premier V2,Prince,Raquettes,149.9,10832,2025-09-03 12:43:26+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Prince Phantom V2,Prince,Raquettes,149.9,10831,2025-09-03 12:04:00+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Prince Rocket,Prince,Raquettes,95.9,10828,2025-09-03 09:47:57+00:00,forme,mousse,,carbone,,,,balance,,
Raquette de padel Adidas Adipower Legend 2025,Adidas,Raquettes,259.9,10759,2025-07-30 12:43:01+00:00,forme,mousse,,carbone,,,attaque,,,
Raquette de padel Fila The Exordior Bleu,Fila,Raquettes,64.9,3910,2023-03-07 10:32:29+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Head Cyber 2025,Head,Raquettes,94.9,9962,2025-04-24 13:48:45+00:00,forme,foam,,,,noir,attaque,,,
Raquette de padel Head Attitude 2025,Head,Raquettes,89.9,9961,2025-04-24 09:23:46+00:00,forme,foam,,,,rouge,attaque,,,
Raquette de padel Head Extreme XTR 2025,Head,Raquettes,109.9,9958,2025-04-24 06:42:16+00:00,forme,foam,,,,noir,,,,
Raquette de padel Head Extreme Power 2025,Head,Raquettes,109.9,9957,2025-04-23 12:46:26+00:00,forme,foam,,,,bleu,,,,
Raquette de padel Head Evo Extreme 2025,Head,Raquettes,79.9,10880,2025-09-12 12:55:33+00:00,forme,foam,,carbone,,,,,,poids
Raquette de padel Volt 500 V5,Volt,Raquettes,229.9,10799,2025-08-13 07:27:10+00:00,forme,mousse,,carbone,sablée,white,,,,
Raquette de padel Volt 700 V5,Volt,Raquettes,249.9,10798,2025-08-13 07:22:02+00:00,forme,mousse,,carbone,sablée,rouge,polyvalente,,,
Raquette de padel Volt 1000 V5,Volt,Raquettes,279.9,10789,2025-08-12 07:14:18+00:00,forme,mousse,,carbone,,noir,,,,
Raquette de padel Head Revolt 2025,Head,Raquettes,79.9,9959,2025-04-24 07:06:23+00:00,forme,foam,,carbone,,bleu,,,,
Raquette de padel Tecnifibre Wall Master 360,Tecnifibre,Raquettes,64.9,4740,2023-06-09 07:37:07+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Nox FR Prestige 2.0 2025,Nox,Raquettes,199.9,10836,2025-09-04 09:02:47+00:00,forme,mousse,,carbone,,noir,polyvalente,,,
Raquette de Padel Dunlop Inferno Carbon Extreme,Dunlop,Raquettes,119.95,7389,2024-05-16 09:00:52+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Black Crown Piton Attack 12K+,Black Crown,Raquettes,124.9,1233,2021-12-07 11:00:53+00:00,forme,,,carbone,,,,,,
Raquette de padel Babolat Alioth Junior 2025,Babolat,Raquettes,99.9,10540,2025-06-30 13:15:19+00:00,forme,mousse,,,,bleu,,,,weight
